season,matchId,gameweek,team_id,team,venue,playerId,pl_id,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2016-17,7090357,27,1,Manchester_United,Home,751,13017,Wayne Rooney,wayne-rooney,F,False,1.0,,4.0,34.0,7.0,40.0,,1.0,3.0,1.0,1.0,1.0,2.0,,,,3.0,2.0,,,,,,,,,3.0,,70.0,1.0,,,,,,,,9.0,,7.0,,,1.0,,1.0,4.0,,4.0,2.0,42.0,7.0,45.0,3,1.0,56.0,,,,
2016-17,7090357,27,1,Manchester_United,Home,938,2404,Michael Carrick,michael-carrick,M,False,,,5.0,33.0,19.0,52.0,,1.0,4.0,,,,1.0,,,1.0,3.0,4.0,,,1.0,,,,,,2.0,,70.0,,,,,,,,,15.0,,7.0,,,,,,1.0,,9.0,,43.0,22.0,64.0,0,3.0,73.0,1.0,,,
2016-17,7090357,27,1,Manchester_United,Home,2089,9808,Zlatan Ibrahimović,zlatan-ibrahimovic,F,False,,,2.0,17.0,2.0,19.0,1.0,5.0,2.0,,4.0,4.0,,,,1.0,4.0,5.0,,,1.0,,,,,,1.0,,90.0,1.0,,,,,1.0,,,14.0,,5.5,,,2.0,,1.0,2.0,,2.0,,26.0,2.0,26.0,7,,41.0,2.0,,,
2016-17,7090357,27,1,Manchester_United,Home,11820,20695,Antonio Valencia,antonio-valencia,D,False,2.0,,3.0,34.0,11.0,43.0,,1.0,3.0,2.0,,,2.0,,,,2.0,5.0,,,,1.0,,,,1.0,2.0,,90.0,,,,,,,,,14.0,,7.6,,,1.0,,1.0,4.0,,10.0,,45.0,12.0,53.0,1,2.0,71.0,,1.0,1.0,
2016-17,7090357,27,1,Manchester_United,Home,21764,41184,Marouane Fellaini,marouane-fellaini,F,True,,,,10.0,4.0,14.0,,2.0,2.0,,,,,,,,1.0,3.0,,,1.0,,,,,,,,20.0,,,,,,,,,2.0,,6.6,,,,,,,,,,11.0,4.0,15.0,0,,18.0,1.0,1.0,,
2016-17,7090357,27,1,Manchester_United,Home,25566,42899,Sergio Romero,sergio-romero,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2016-17,7090357,27,1,Manchester_United,Home,28367,43670,Juan Mata,juan-mata,M,False,2.0,,2.0,42.0,10.0,50.0,,,3.0,,,,3.0,,,2.0,6.0,1.0,,,1.0,,,,,,3.0,,90.0,,,,,,,,,15.0,,6.3,,,,,1.0,9.0,,2.0,1.0,55.0,10.0,56.0,0,,70.0,,,1.0,
2016-17,7090357,27,1,Manchester_United,Home,44864,58877,Daley Blind,daley-blind,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2016-17,7090357,27,1,Manchester_United,Home,46998,58893,Marcos Rojo,marcos-rojo,D,False,1.0,,6.0,30.0,39.0,68.0,4.0,1.0,5.0,,,2.0,,,,,4.0,3.0,,,,,1.0,,,1.0,,,90.0,1.0,1.0,,,,,,,3.0,,7.8,,,,3.0,,3.0,,7.0,,33.0,39.0,69.0,3,,87.0,,2.0,,
2016-17,7090357,27,1,Manchester_United,Home,47741,55909,Chris Smalling,chris-smalling,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2016-17,7090357,27,1,Manchester_United,Home,69378,51940,David De Gea,david-de-gea,G,False,,,3.0,2.0,12.0,14.0,,,5.0,,,,,,,,,,,,,,,1.0,,,,,90.0,,,,,1.0,,,,3.0,,6.3,,,,1.0,,,,6.0,,4.0,13.0,17.0,0,,20.0,,,,
2016-17,7090357,27,1,Manchester_United,Home,82474,59846,Ander Herrera,ander-herrera,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
