season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2021-22,9576260,3,3,Arsenal,Away,793228,156074,Rob Holding,rob-holding,D,False,,,1.0,3.0,11.0,14.0,2.0,,2.0,,,,,,1.0,3.0,3.0,,,,,,,,,2.0,,,90.0,,4.0,,,,,,5.0,,6.7,,,,,6.0,,,,5.0,,7.0,11.0,18.0,0,3.0,35.0,,,,3.0
2021-22,9576260,3,3,Arsenal,Away,944973,437626,Nuno Tavares,nuno-tavares,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576408,4,3,Arsenal,Home,208988,92371,Pablo Marí,pablo-mari,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576408,4,3,Arsenal,Home,227942,101184,Calum Chambers,calum-chambers,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576408,4,3,Arsenal,Home,352768,154043,Ainsley Maitland-Niles,ainsley-maitland-niles,D,False,1.0,,2.0,23.0,18.0,40.0,,1.0,6.0,,,1.0,2.0,,2.0,8.0,4.0,,,1.0,,,,,,1.0,2.0,,82.0,,,,,,,,18.0,,6.5,,,,,1.0,5.0,2.0,,4.0,,31.0,21.0,50.0,1,,71.0,2.0,1.0,2.0,
2021-22,9576408,4,3,Arsenal,Home,366592,192895,Kieran Tierney,kieran-tierney,D,False,1.0,,2.0,20.0,13.0,32.0,1.0,1.0,2.0,,,1.0,,,,1.0,3.0,,,,,,,,,,2.0,,90.0,,,,,,,,12.0,,7.4,,,1.0,,1.0,,5.0,,4.0,,29.0,13.0,37.0,2,1.0,57.0,,1.0,,
2021-22,9576408,4,3,Arsenal,Home,804434,223723,Takehiro Tomiyasu,takehiro-tomiyasu,D,False,1.0,,1.0,12.0,9.0,20.0,1.0,7.0,5.0,,,1.0,,,,3.0,10.0,,,1.0,,,,,,,,,62.0,,,,,,,,11.0,,7.1,,,1.0,,2.0,2.0,1.0,,2.0,,15.0,15.0,29.0,2,1.0,49.0,1.0,1.0,1.0,1.0
2021-22,9576408,4,3,Arsenal,Home,846036,198869,Ben White,ben-white,D,False,,,3.0,8.0,24.0,32.0,2.0,1.0,3.0,,,,,,1.0,5.0,2.0,,,2.0,,,,,,,3.0,,90.0,,,,,,,,11.0,,7.0,,,,,3.0,,,,5.0,,14.0,28.0,42.0,0,1.0,47.0,,,,
2021-22,9576408,4,3,Arsenal,Home,869792,226597,Gabriel Magalhães,gabriel-magalhaes,D,False,,,2.0,17.0,28.0,45.0,,2.0,4.0,,,,,,,1.0,4.0,,,1.0,,,,,,,,,90.0,,3.0,,,,,,3.0,,7.7,,,2.0,,2.0,,,,4.0,,19.0,29.0,48.0,2,2.0,58.0,,,,2.0
2021-22,9576408,4,3,Arsenal,Home,944973,437626,Nuno Tavares,nuno-tavares,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576406,5,3,Arsenal,Away,208988,92371,Pablo Marí,pablo-mari,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576406,5,3,Arsenal,Away,352768,154043,Ainsley Maitland-Niles,ainsley-maitland-niles,D,True,,,,5.0,6.0,11.0,2.0,,2.0,,,,,,1.0,4.0,2.0,,,,,,,,,1.0,,,15.0,,,,,,,,6.0,,6.5,,,,,,1.0,,,2.0,,8.0,7.0,15.0,0,2.0,21.0,,,,
2021-22,9576406,5,3,Arsenal,Away,366592,192895,Kieran Tierney,kieran-tierney,D,False,,,1.0,14.0,6.0,20.0,,,3.0,,,,,,,1.0,3.0,,,1.0,,,,,,,,,78.0,,,,,,,,14.0,,6.6,,,,,5.0,,3.0,,8.0,,24.0,7.0,28.0,0,,44.0,,3.0,,
2021-22,9576406,5,3,Arsenal,Away,793228,156074,Rob Holding,rob-holding,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576406,5,3,Arsenal,Away,804434,223723,Takehiro Tomiyasu,takehiro-tomiyasu,D,False,,,3.0,15.0,25.0,40.0,,3.0,6.0,,,,,,,,4.0,,,,,,,,,1.0,,,90.0,,,,,,,,16.0,,7.2,,,,,5.0,,,,4.0,,22.0,32.0,54.0,0,1.0,80.0,2.0,,,
2021-22,9576406,5,3,Arsenal,Away,846036,198869,Ben White,ben-white,D,False,,,2.0,9.0,39.0,48.0,4.0,5.0,,,,,1.0,,1.0,6.0,8.0,,,,,,,,,4.0,,,90.0,,,,,,,,12.0,,7.2,,,,,6.0,1.0,,,4.0,,12.0,46.0,58.0,0,1.0,77.0,1.0,1.0,1.0,
2021-22,9576406,5,3,Arsenal,Away,869792,226597,Gabriel Magalhães,gabriel-magalhaes,D,False,,,,4.0,41.0,45.0,5.0,5.0,3.0,,,,,,,6.0,8.0,,1.0,1.0,,,,,,,,1.0,90.0,,2.0,,,,,,9.0,,7.5,,,,,10.0,,,,5.0,,7.0,47.0,54.0,0,3.0,70.0,,,,1.0
2021-22,9576406,5,3,Arsenal,Away,944973,437626,Nuno Tavares,nuno-tavares,D,True,,,,4.0,1.0,5.0,,1.0,1.0,,,,,,,2.0,2.0,,,,,,,,,,,,12.0,,,,,,,,6.0,,6.6,,,1.0,,2.0,2.0,,,,,4.0,3.0,7.0,1,1.0,17.0,1.0,,,
2021-22,9576157,6,3,Arsenal,Home,352768,154043,Ainsley Maitland-Niles,ainsley-maitland-niles,D,True,,,,2.0,,2.0,,,,,,,,,,1.0,,,,1.0,,,,,,,,,9.0,,,,,,,,2.0,,6.4,,,,,,,,,,,4.0,,4.0,0,,4.0,,,,
2021-22,9576157,6,3,Arsenal,Home,366592,192895,Kieran Tierney,kieran-tierney,D,False,2.0,,3.0,23.0,10.0,31.0,2.0,1.0,5.0,,,,,,,3.0,6.0,,,,,,,,,,,,90.0,,,,,,,,13.0,,6.9,,,1.0,,3.0,1.0,2.0,,8.0,,29.0,15.0,42.0,1,4.0,60.0,,1.0,,4.0
2021-22,9576157,6,3,Arsenal,Home,793228,156074,Rob Holding,rob-holding,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576157,6,3,Arsenal,Home,804434,223723,Takehiro Tomiyasu,takehiro-tomiyasu,D,False,,,1.0,16.0,21.0,37.0,1.0,4.0,8.0,,,,,,,3.0,5.0,,,2.0,,,,,,1.0,,,90.0,1.0,,,,,,,15.0,,6.9,,,,,3.0,,2.0,,5.0,,22.0,26.0,46.0,1,1.0,67.0,2.0,,,
2021-22,9576157,6,3,Arsenal,Home,846036,198869,Ben White,ben-white,D,False,,,7.0,13.0,27.0,40.0,,1.0,3.0,,,,,,,1.0,2.0,,,1.0,,,,,,3.0,,,90.0,,,,,,,,2.0,,7.0,,,,,3.0,,,,8.0,,15.0,27.0,42.0,0,1.0,51.0,,,,1.0
2021-22,9576157,6,3,Arsenal,Home,869792,226597,Gabriel Magalhães,gabriel-magalhaes,D,False,,,2.0,14.0,31.0,45.0,1.0,2.0,3.0,,,,1.0,,,2.0,2.0,,,,,,,,,,1.0,,90.0,,1.0,,,,,,5.0,,6.8,,,1.0,,5.0,,,,5.0,,16.0,34.0,50.0,1,,58.0,,,,
2021-22,9576157,6,3,Arsenal,Home,944973,437626,Nuno Tavares,nuno-tavares,D,True,,,,2.0,,2.0,,1.0,,,,,,,,,3.0,,,,,,,,,,,,8.0,,,,,,,,1.0,,6.8,,,,,1.0,,,,,,3.0,,3.0,0,1.0,6.0,,1.0,,1.0
2021-22,9576124,7,3,Arsenal,Away,352768,154043,Ainsley Maitland-Niles,ainsley-maitland-niles,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576124,7,3,Arsenal,Away,366592,192895,Kieran Tierney,kieran-tierney,D,False,,,1.0,7.0,6.0,13.0,2.0,,3.0,,,,,,,3.0,2.0,,,1.0,,,,,,,,,90.0,,1.0,,,,,,14.0,,6.9,,,,,1.0,,3.0,,6.0,,16.0,11.0,24.0,0,1.0,40.0,,1.0,,
2021-22,9576124,7,3,Arsenal,Away,793228,156074,Rob Holding,rob-holding,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
