season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,penaltyConceded,penaltyFaced,penaltyMiss,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2021-22,9576109,7,43,Manchester_City,Away,13630,27789,Fernandinho,fernandinho,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576109,7,43,Manchester_City,Away,70996,61366,Kevin De Bruyne,kevin-de-bruyne,M,False,,,3.0,17.0,13.0,30.0,2.0,,5.0,,,2.0,2.0,,,,4.0,1.0,,,,,1.0,,,,,1.0,,90.0,1.0,1.0,,,,,19.0,,7.4,,,2.0,,1.0,,3.0,,7.0,,28.0,16.0,41.0,5,,60.0,3.0,1.0,,
2021-22,9576109,7,43,Manchester_City,Away,158213,103025,Riyad Mahrez,riyad-mahrez,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576109,7,43,Manchester_City,Away,189061,114283,Jack Grealish,jack-grealish,M,False,,,,12.0,9.0,21.0,,,3.0,,,1.0,,,,,2.0,2.0,,,1.0,,,,,,,,,66.0,,1.0,,,,,3.0,,6.7,,,,,,3.0,,,,1.0,13.0,9.0,22.0,1,,29.0,1.0,,2.0,
2021-22,9576109,7,43,Manchester_City,Away,331209,165809,Bernardo Silva,bernardo-silva,M,False,,,2.0,27.0,20.0,47.0,,,7.0,1.0,,,1.0,,,4.0,7.0,11.0,,,1.0,,,,,,2.0,1.0,,90.0,,,,,,,16.0,,7.2,,,,,1.0,5.0,1.0,,4.0,1.0,30.0,26.0,55.0,0,3.0,78.0,1.0,4.0,4.0,3.0
2021-22,9576109,7,43,Manchester_City,Away,827606,220566,Rodri,rodri,M,False,,,5.0,19.0,32.0,51.0,,3.0,5.0,,,,1.0,1.0,,2.0,4.0,6.0,,,1.0,,,,,,1.0,,,90.0,,1.0,,,,,12.0,,7.3,,,1.0,,2.0,1.0,,,8.0,,24.0,36.0,60.0,1,2.0,74.0,,,1.0,2.0
2021-22,9576109,7,43,Manchester_City,Away,859765,209244,Phil Foden,phil-foden,M,False,2.0,,1.0,17.0,6.0,21.0,2.0,,5.0,,1.0,,,,,1.0,7.0,2.0,,,2.0,,1.0,,,,1.0,1.0,,90.0,2.0,,,,,,16.0,,7.1,,,,,,3.0,8.0,,2.0,3.0,25.0,9.0,26.0,2,,49.0,2.0,1.0,1.0,
2021-22,9576109,7,43,Manchester_City,Away,982780,244851,Cole Palmer,cole-palmer,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576230,8,43,Manchester_City,Home,13630,27789,Fernandinho,fernandinho,M,True,,,,4.0,4.0,8.0,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,1.0,,,10.0,,,,,,,1.0,,6.7,,,,,,,,,,,5.0,4.0,9.0,0,,10.0,,,,
2021-22,9576230,8,43,Manchester_City,Home,45853,59859,İlkay Gündoğan,ilkay-gundogan,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
