season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2016-17,7090286,19,1,Manchester_United,Home,326,15208,Bastian Schweinsteiger,bastian-schweinsteiger,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2016-17,7090286,19,1,Manchester_United,Home,28367,43670,Juan Mata,juan-mata,M,True,2.0,,1.0,18.0,4.0,20.0,,,4.0,,,2.0,1.0,,,,1.0,,,,,1.0,,,,,1.0,,26.0,1.0,,,,,,,,4.0,,7.0,,,1.0,,,,5.0,,1.0,1.0,22.0,4.0,21.0,4,,30.0,,,,
2016-17,7090286,19,1,Manchester_United,Home,37151,57249,Henrikh Mkhitaryan,henrikh-mkhitaryan,M,False,1.0,,1.0,51.0,7.0,57.0,,1.0,5.0,1.0,,1.0,2.0,,,2.0,5.0,5.0,,,,,,,,4.0,4.0,,90.0,1.0,,,,,,,,16.0,,8.0,,,1.0,,3.0,3.0,5.0,,1.0,1.0,61.0,7.0,63.0,3,,92.0,3.0,2.0,2.0,
2016-17,7090286,19,1,Manchester_United,Home,82474,59846,Ander Herrera,ander-herrera,M,False,1.0,,9.0,67.0,42.0,108.0,,,7.0,,,,4.0,,,1.0,5.0,5.0,,1.0,,,,,,1.0,3.0,,90.0,,,,,,,,,10.0,,7.2,,,2.0,,2.0,2.0,3.0,,9.0,,72.0,45.0,114.0,2,1.0,130.0,,2.0,2.0,1.0
2016-17,7090286,19,1,Manchester_United,Home,111802,74208,Paul Pogba,paul-pogba,M,False,,,14.0,57.0,12.0,69.0,1.0,2.0,3.0,,,1.0,,,,1.0,4.0,10.0,,,2.0,,1.0,,1.0,,5.0,,90.0,2.0,,,,,,,,22.0,,9.5,,,4.0,,1.0,5.0,3.0,,19.0,,74.0,12.0,83.0,7,1.0,109.0,1.0,2.0,5.0,1.0
2016-17,7090286,19,1,Manchester_United,Home,191176,148225,Anthony Martial,anthony-martial,M,False,3.0,,1.0,29.0,8.0,34.0,1.0,,4.0,,1.0,,1.0,,,2.0,7.0,11.0,,,1.0,,1.0,,1.0,,2.0,,90.0,3.0,,,,,,,,21.0,,8.0,,,1.0,,,9.0,10.0,,1.0,,43.0,8.0,41.0,4,,76.0,1.0,4.0,7.0,
2016-17,7090200,20,1,Manchester_United,Away,938,2404,Michael Carrick,michael-carrick,M,False,,,14.0,56.0,42.0,98.0,,,7.0,,,,1.0,,,,2.0,3.0,,,1.0,,,,,5.0,,,90.0,,,,,,,,,6.0,,7.8,,,,,2.0,,,,18.0,,61.0,43.0,104.0,0,3.0,118.0,,,,1.0
2016-17,7090200,20,1,Manchester_United,Away,28367,43670,Juan Mata,juan-mata,M,True,,,2.0,18.0,10.0,28.0,,,,,,,1.0,,,1.0,2.0,1.0,,,,,1.0,,,,,,45.0,1.0,,,,,,,,7.0,,7.1,,,,,2.0,,2.0,,3.0,,22.0,10.0,30.0,1,1.0,41.0,1.0,,,1.0
2016-17,7090200,20,1,Manchester_United,Away,37151,57249,Henrikh Mkhitaryan,henrikh-mkhitaryan,M,False,,,2.0,25.0,8.0,33.0,,1.0,2.0,1.0,,,1.0,,,2.0,3.0,6.0,,,,,,,,1.0,3.0,,65.0,,,,,,,,,10.0,,7.3,,,,,,,2.0,,2.0,,32.0,8.0,38.0,0,3.0,50.0,1.0,2.0,,2.0
2016-17,7090200,20,1,Manchester_United,Away,82474,59846,Ander Herrera,ander-herrera,M,False,,,5.0,46.0,22.0,68.0,,,7.0,,,1.0,2.0,,,1.0,5.0,3.0,,,1.0,1.0,,,,5.0,2.0,,90.0,1.0,,,,,,,,14.0,,7.6,,,,,1.0,2.0,1.0,,6.0,,54.0,22.0,75.0,2,2.0,95.0,3.0,,1.0,1.0
2016-17,7090200,20,1,Manchester_United,Away,111802,74208,Paul Pogba,paul-pogba,M,False,,,5.0,64.0,27.0,91.0,1.0,3.0,6.0,,,,3.0,,,1.0,10.0,11.0,,,2.0,,,,,1.0,1.0,,90.0,,,,,,,,,18.0,,7.1,,,2.0,,2.0,5.0,,,8.0,,72.0,30.0,102.0,2,3.0,122.0,1.0,3.0,2.0,2.0
2016-17,7090200,20,1,Manchester_United,Away,191176,148225,Anthony Martial,anthony-martial,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2016-17,7090210,21,1,Manchester_United,Home,938,2404,Michael Carrick,michael-carrick,M,False,,,4.0,8.0,16.0,24.0,,,,,,,1.0,,,,1.0,2.0,,,,,,,,,,,45.0,,,,,,,,,3.0,,6.6,,,,,,,,,5.0,,10.0,17.0,27.0,0,,30.0,,2.0,,
2016-17,7090210,21,1,Manchester_United,Home,28367,43670,Juan Mata,juan-mata,M,True,,,1.0,9.0,1.0,10.0,,,5.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,,25.0,,,,,,,,,7.0,,6.5,,,,,,,1.0,,1.0,,14.0,1.0,14.0,0,1.0,18.0,,,,1.0
2016-17,7090210,21,1,Manchester_United,Home,37151,57249,Henrikh Mkhitaryan,henrikh-mkhitaryan,M,False,,,,16.0,11.0,27.0,1.0,1.0,6.0,1.0,,,,,,6.0,9.0,5.0,,,2.0,,,,,3.0,2.0,,90.0,1.0,,,,,,,,25.0,,7.3,,,,,1.0,1.0,7.0,,3.0,,30.0,13.0,36.0,1,2.0,67.0,2.0,1.0,1.0,
2016-17,7090210,21,1,Manchester_United,Home,82474,59846,Ander Herrera,ander-herrera,M,False,1.0,,2.0,30.0,15.0,44.0,1.0,,4.0,,,,2.0,,,,8.0,8.0,,,5.0,,,,,4.0,1.0,,90.0,,,,,,,,,17.0,,7.3,,,,,2.0,1.0,2.0,,11.0,,46.0,15.0,59.0,0,5.0,76.0,1.0,2.0,1.0,5.0
2016-17,7090210,21,1,Manchester_United,Home,111802,74208,Paul Pogba,paul-pogba,M,False,,,3.0,21.0,14.0,35.0,5.0,2.0,6.0,,1.0,,1.0,,,3.0,13.0,6.0,,1.0,3.0,,,,,,,,90.0,,,,1.0,,,,,22.0,,5.5,,,2.0,,2.0,2.0,1.0,,9.0,,33.0,17.0,49.0,2,2.0,68.0,1.0,3.0,,1.0
2016-17,7090210,21,1,Manchester_United,Home,191176,148225,Anthony Martial,anthony-martial,M,False,1.0,,1.0,11.0,6.0,16.0,1.0,2.0,4.0,,,,,,,2.0,6.0,8.0,,,1.0,,,,,1.0,1.0,,65.0,,1.0,,,,,,,15.0,,6.9,,,,,,5.0,1.0,,2.0,,17.0,6.0,22.0,0,2.0,41.0,4.0,1.0,3.0,2.0
2016-17,7090198,22,1,Manchester_United,Away,326,15208,Bastian Schweinsteiger,bastian-schweinsteiger,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2016-17,7090198,22,1,Manchester_United,Away,938,2404,Michael Carrick,michael-carrick,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2016-17,7090198,22,1,Manchester_United,Away,28367,43670,Juan Mata,juan-mata,M,False,1.0,,4.0,23.0,11.0,33.0,,,5.0,,1.0,,,,,,,1.0,,,,,,,,,2.0,,67.0,,,1.0,,,,,,9.0,,6.6,,,2.0,,,,2.0,,4.0,,30.0,12.0,40.0,2,,49.0,,1.0,,
2016-17,7090198,22,1,Manchester_United,Away,37151,57249,Henrikh Mkhitaryan,henrikh-mkhitaryan,M,False,,,2.0,37.0,5.0,42.0,4.0,,5.0,1.0,,,1.0,,,1.0,9.0,2.0,,,1.0,,,,,,3.0,,73.0,1.0,,,,,,,,16.0,,7.1,,,1.0,,2.0,3.0,1.0,,2.0,1.0,46.0,7.0,52.0,2,,68.0,1.0,1.0,1.0,
2016-17,7090198,22,1,Manchester_United,Away,82474,59846,Ander Herrera,ander-herrera,M,False,3.0,,9.0,68.0,38.0,103.0,,2.0,11.0,,,3.0,1.0,,,1.0,3.0,6.0,,,2.0,,,,,4.0,2.0,,90.0,1.0,,,,,,,,11.0,,7.9,,,,,2.0,1.0,5.0,,12.0,,75.0,41.0,111.0,4,1.0,131.0,,2.0,1.0,
2016-17,7090198,22,1,Manchester_United,Away,111802,74208,Paul Pogba,paul-pogba,M,False,,,3.0,49.0,18.0,67.0,8.0,1.0,4.0,,,1.0,,,,3.0,13.0,8.0,,,1.0,,,,,1.0,4.0,,90.0,2.0,,,,,,,,17.0,,7.7,,,1.0,,1.0,4.0,1.0,,4.0,1.0,55.0,21.0,75.0,4,1.0,101.0,3.0,3.0,3.0,1.0
2016-17,7090235,23,1,Manchester_United,Home,938,2404,Michael Carrick,michael-carrick,M,False,,,4.0,33.0,17.0,50.0,,,3.0,,,,,,,,,2.0,,,,,,,,,,,45.0,,,,,,,,,5.0,,6.9,,,,,1.0,,,,6.0,,37.0,17.0,54.0,0,,59.0,,2.0,,
2016-17,7090235,23,1,Manchester_United,Home,28367,43670,Juan Mata,juan-mata,M,True,,,2.0,16.0,2.0,18.0,,,,,1.0,,,,,,,1.0,,,,,,,,,2.0,,28.0,1.0,,,,,,,,4.0,,6.6,,,,,,,1.0,,3.0,1.0,20.0,2.0,21.0,1,,25.0,,1.0,,
2016-17,7090235,23,1,Manchester_United,Home,37151,57249,Henrikh Mkhitaryan,henrikh-mkhitaryan,M,False,1.0,,1.0,17.0,9.0,25.0,,,5.0,,,1.0,2.0,,,4.0,11.0,5.0,,,2.0,,,,,1.0,,,62.0,,,,,,,,,17.0,,6.4,,,,,,6.0,5.0,,2.0,1.0,26.0,9.0,30.0,1,2.0,51.0,1.0,,3.0,2.0
2016-17,7090235,23,1,Manchester_United,Home,82474,59846,Ander Herrera,ander-herrera,M,False,2.0,,3.0,48.0,32.0,78.0,1.0,2.0,7.0,,,1.0,2.0,,,1.0,6.0,5.0,,,2.0,,,,,3.0,1.0,,90.0,,,,,,,,,18.0,,7.2,,,,,1.0,,6.0,,7.0,,64.0,33.0,91.0,1,3.0,110.0,,,,
2016-17,7090235,23,1,Manchester_United,Home,111802,74208,Paul Pogba,paul-pogba,M,False,,,7.0,39.0,32.0,71.0,,4.0,5.0,,1.0,2.0,1.0,,,,4.0,10.0,,,3.0,,,,,1.0,3.0,,90.0,2.0,,,,,,,,14.0,,8.0,,,,,,1.0,5.0,,8.0,,51.0,33.0,79.0,4,2.0,98.0,,3.0,1.0,2.0
2016-17,7090235,23,1,Manchester_United,Home,191176,148225,Anthony Martial,anthony-martial,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2016-17,7090256,24,1,Manchester_United,Away,938,2404,Michael Carrick,michael-carrick,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2016-17,7090256,24,1,Manchester_United,Away,28367,43670,Juan Mata,juan-mata,M,False,3.0,,3.0,31.0,18.0,46.0,,,2.0,,1.0,1.0,,,,2.0,5.0,3.0,,,2.0,,1.0,,,,1.0,,77.0,2.0,,,,,,,,10.0,,7.1,,,1.0,,,1.0,5.0,,3.0,,36.0,18.0,49.0,4,1.0,67.0,1.0,2.0,,
