season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2023-24,11352347,31,14,Liverpool,Home,1008402,492777,Conor Bradley,conor-bradley,D,False,,,3.0,35.0,32.0,67.0,1.0,2.0,6.0,,,,2.0,,1.0,4.0,5.0,,,0.0281791,0.0195,,,,,,,,1.0,,,90.0,,,1.0,,,,,11.0,,6.7,,,1.0,,2.0,,3.0,,4.0,,42.0,32.0,71.0,1,3.0,94.0,1.0,,,
2023-24,11352374,32,14,Liverpool,Away,151545,97032,Virgil van Dijk,virgil-van-dijk,D,False,,,1.0,23.0,42.0,65.0,1.0,1.0,1.0,,,,,,,2.0,2.0,,,0.00871245,,,1.0,,,,,,1.0,,,90.0,,1.0,,,,,,4.0,,6.7,,,,,3.0,,,,2.0,,25.0,44.0,69.0,0,1.0,77.0,,,,1.0
2023-24,11352374,32,14,Liverpool,Away,262911,122798,Andy Robertson,andy-robertson,D,False,4.0,,2.0,32.0,10.0,38.0,,,3.0,2.0,,1.0,,,,1.0,3.0,,,0.310724,0.0871,,,,,,,,,5.0,,90.0,,,,,,,,22.0,,7.8,,,1.0,,2.0,2.0,17.0,,3.0,,49.0,12.0,44.0,2,1.0,79.0,1.0,1.0,1.0,
2023-24,11352374,32,14,Liverpool,Away,318927,171287,Joe Gomez,joe-gomez,D,True,,,,8.0,9.0,17.0,1.0,,3.0,,,,,,,1.0,2.0,,,0.0634635,0.0329,,,,,,,,,1.0,,24.0,,1.0,,,,,,6.0,,7.0,,,1.0,,1.0,,1.0,,1.0,,13.0,10.0,22.0,1,1.0,34.0,,1.0,,1.0
2023-24,11352374,32,14,Liverpool,Away,786259,214285,Kostas Tsimikas,kostas-tsimikas,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2023-24,11352374,32,14,Liverpool,Away,826215,204716,Ibrahima Konaté,ibrahima-konate,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2023-24,11352374,32,14,Liverpool,Away,1003339,441428,Jarell Quansah,jarell-quansah,D,False,,,4.0,37.0,44.0,81.0,2.0,1.0,9.0,,,,,,,2.0,4.0,1.0,,0.0202055,,,,,,,,,,,,90.0,,,,,,,,11.0,,6.2,,,,,1.0,,,,11.0,,44.0,48.0,92.0,0,2.0,97.0,,1.0,,2.0
2023-24,11352374,32,14,Liverpool,Away,1008402,492777,Conor Bradley,conor-bradley,D,False,,,2.0,20.0,8.0,28.0,,,6.0,,,1.0,1.0,,2.0,5.0,5.0,,,0.187053,0.053,,,,,,,,,1.0,,66.0,,,,,,,,15.0,,6.6,,,,,,3.0,,,3.0,1.0,26.0,9.0,35.0,1,3.0,59.0,2.0,1.0,1.0,2.0
2023-24,11352403,33,14,Liverpool,Home,151545,97032,Virgil van Dijk,virgil-van-dijk,D,False,,,4.0,59.0,55.0,114.0,,6.0,5.0,,,1.0,,,,1.0,9.0,,,0.0740735,0.149,,1.0,,,,,,1.0,,,90.0,,1.0,,,,,,11.0,,8.0,,,3.0,,2.0,,,,7.0,,66.0,57.0,123.0,4,3.0,137.0,2.0,,,2.0
2023-24,11352403,33,14,Liverpool,Home,262911,122798,Andy Robertson,andy-robertson,D,False,6.0,,4.0,51.0,31.0,76.0,2.0,,4.0,,,,2.0,1.0,3.0,8.0,1.0,,,0.261894,,,,,,,,,1.0,4.0,,90.0,,1.0,,,,,,22.0,,7.8,,,,,1.0,1.0,13.0,,7.0,,67.0,32.0,86.0,0,1.0,120.0,1.0,,,1.0
