season,matchId,gameweek,team_id,team,venue,playerId,pl_id,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest
2015-16,6767957,3,21,West_Ham_United,Home,13060,32259,Darren Randolph,darren-randolph,G,False,,1.0,6.0,5.0,2.0,7.0,,1.0,11.0,,,,,,,,,1.0,,1.0,,,,1.0,,,,,90.0,,,,,,,,,6.0,2.0,3.0,,1.0,,,1.0,31.0,,28.0,4.0,32.0,0,,44.0,,,
2015-16,6767957,3,21,West_Ham_United,Home,14120,48717,Winston Reid,winston-reid,D,False,,,4.0,6.0,18.0,24.0,2.0,3.0,7.0,,,,,,,,4.0,7.0,,,2.0,,,,,7.0,,,90.0,,,,,,,,,7.0,,,,6.0,,,,9.0,,10.0,23.0,33.0,0,2.0,52.0,,2.0,
2015-16,6767957,3,21,West_Ham_United,Home,14216,37901,Dimitri Payet,dimitri-payet,M,False,2.0,,1.0,23.0,6.0,27.0,,,4.0,,,1.0,,,,1.0,2.0,1.0,,,,,,,,,1.0,,90.0,,,,,,,,,6.7,,,,,1.0,8.0,,4.0,,41.0,6.0,39.0,1,1.0,59.0,2.0,,
2015-16,6767957,3,21,West_Ham_United,Home,20095,18818,Matt Jarvis,matt-jarvis,M,True,,,,4.0,5.0,9.0,2.0,,2.0,,,,,,,1.0,4.0,2.0,,,,,,,,,,,45.0,,,,,,,,,6.2,,,,,1.0,1.0,,,,6.0,6.0,11.0,0,2.0,16.0,,,
2015-16,6767957,3,21,West_Ham_United,Home,21164,40669,Angelo Ogbonna,angelo-ogbonna,D,False,,,2.0,1.0,10.0,11.0,,,8.0,,,,,,,1.0,1.0,3.0,,,,,,,,1.0,,,35.0,,,,,,,,,6.5,,,,,,,,3.0,,2.0,11.0,13.0,0,2.0,18.0,,1.0,
2015-16,6767957,3,21,West_Ham_United,Home,27005,42954,Modibo Maiga,modibo-maiga,F,True,,,,,1.0,1.0,5.0,2.0,,,,,,,,,5.0,4.0,,,,,1.0,,,,,,17.0,1.0,,,,,,,,7.4,,,,,2.0,1.0,,,3.0,3.0,1.0,3.0,1,,8.0,,,2.0
2015-16,6767957,3,21,West_Ham_United,Home,32124,49413,James Tomkins,james-tomkins,D,True,,,3.0,8.0,14.0,22.0,1.0,1.0,9.0,,,,2.0,,,,4.0,4.0,,,1.0,,,,,4.0,,,55.0,,,,,,,,,6.5,,,,2.0,,1.0,,9.0,,16.0,16.0,31.0,0,2.0,42.0,,1.0,
2015-16,6767957,3,21,West_Ham_United,Home,43443,55459,Aaron Cresswell,aaron-cresswell,D,False,1.0,,5.0,16.0,5.0,20.0,1.0,4.0,3.0,,,,1.0,,,2.0,7.0,8.0,2.0,,1.0,1.0,,,,2.0,3.0,,90.0,,1.0,,,,,,,5.3,,,,2.0,4.0,2.0,,7.0,,25.0,7.0,30.0,0,,62.0,1.0,2.0,2.0
2015-16,6767957,3,21,West_Ham_United,Home,45944,55037,Cheikhou Kouyaté,cheikhou-kouyate,M,False,,,2.0,12.0,10.0,22.0,4.0,1.0,5.0,,,1.0,1.0,,,,6.0,7.0,,,1.0,,1.0,,,4.0,,,90.0,1.0,,,,,,,,7.5,,,1.0,,1.0,3.0,,6.0,,27.0,15.0,39.0,3,3.0,61.0,1.0,2.0,1.0
2015-16,6767957,3,21,West_Ham_United,Home,46799,59779,Pedro Obiang,pedro-obiang,M,False,,,3.0,15.0,17.0,32.0,1.0,1.0,7.0,,,1.0,2.0,,,,3.0,4.0,,,,,,,,4.0,,,90.0,,,,,,,,,6.8,,,,1.0,,,,8.0,,22.0,21.0,43.0,1,2.0,54.0,,1.0,
