playerId,playerName,position,team_name,team_id,nationality,season,straightRedCards,totalRedCards,yellowCards,duelsLost,penaltiesSaved,catches,totalTackles,savesMadeFromOutsideBox,throughBalls,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,duelsWon,goalsConcededOutsideBox,penaltiesConceded,groundDuelsWon,successfulShortPasses,savesFromPenalty,punches,penaltyGoalsConceded,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,goalkeeperSmother,forwardPasses,recoveries,appearances,drops,crossesNotClaimed,lastPlayerTackle,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,tacklesWon,successfulDribbles,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,totalFoulsConceded,successfulLongPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulCrossesOpenPlay,blockedShots,shotsOnTargetIncGoals,totalShots,goalAssists,successfulLayoffs,unsuccessfulCrossesOpenPlay,goals,awayGoals,substituteOn,cornersTakenInclShortCorners,successfulCrossesAndCorners,aerialDuelsLost,totalTouchesInOppositionBox,throwInsToOppositionPlayer,keyPassesAttemptAssists,homeGoals,tacklesLost,unsuccessfulDribbles,headedGoals,unsuccessfulCrossesAndCorners,timesTackled,shotsOffTargetIncWoodwork,cornersWon,interceptions,backwardPasses,throwInsToOwnPlayer,substituteOff,secondGoalAssists,overruns,offsides,unsuccessfulLayoffs,leftFootGoals,blocks,clearancesOffTheLine,ownGoalScored,rightFootGoals,attemptsFromSetPieces,hitWoodwork,handballsConceded,successfulCornersIntoBox,redCards2ndYellow,unsuccessfulCornersIntoBox,setPiecesGoals,penaltiesTaken,penaltyGoals,foulWonPenalty,otherGoals,putthroughBlockedDistribution
20531,Keiren Westwood,Goalkeeper,Crewe Alexandra,51,Ireland,2011-12,0.0,0.0,0.0,,,17.0,,10.0,,1.0,9.0,8.0,176.0,263.0,66.0,5.0,,1.0,2.0,757.0,2.0,1.0,,2.0,13.0,,5.0,2.0,37.0,6.0,11.0,,4.0,22.0,2.0,0.0,2.0,,256.0,120.0,9.0,1.0,1.0,,70.0,10.0,2.0,,40.0,113.0,182.0,,,50.0,6.0,3.0,,74.0,343.0,83.0,17.0,12.0,175.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
66797,Simon Mignolet,Goalkeeper,Club Brugge,413,Belgium,2011-12,0.0,0.0,0.0,,1.0,38.0,,36.0,,13.0,29.0,29.0,539.0,874.0,322.0,10.0,2.0,11.0,3.0,2573.0,8.0,9.0,,6.0,51.0,1.0,21.0,1.0,118.0,33.0,33.0,,22.0,94.0,6.0,0.0,8.0,,833.0,282.0,29.0,4.0,5.0,,258.0,24.0,6.0,2.0,176.0,336.0,549.0,,,201.0,21.0,19.0,1.0,284.0,1118.0,213.0,77.0,57.0,526.0,41.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,2.0,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,
19478,Trevor Carson,Goalkeeper,Morecambe,286,Northern Ireland,2011-12,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39215,Michel Vorm,Goalkeeper,Tottenham Hotspur,6,Netherlands,2011-12,0.0,0.0,2.0,1.0,2.0,58.0,3.0,48.0,,30.0,37.0,37.0,458.0,1381.0,381.0,25.0,6.0,14.0,3.0,3330.0,16.0,7.0,,10.0,561.0,2.0,20.0,1.0,112.0,35.0,49.0,1.0,186.0,136.0,7.0,0.0,17.0,,934.0,343.0,37.0,7.0,1.0,,209.0,42.0,11.0,6.0,425.0,881.0,468.0,1.0,,167.0,39.0,261.0,1.0,362.0,1855.0,189.0,714.0,88.0,428.0,122.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
5288,Gerhard Tremmel,Goalkeeper,Swansea City,80,Germany,2011-12,0.0,0.0,0.0,,,4.0,,,,,1.0,1.0,6.0,27.0,9.0,,,,,90.0,,,,,11.0,,2.0,,5.0,2.0,2.0,,2.0,,,0.0,,,18.0,8.0,1.0,,,,5.0,2.0,,,13.0,16.0,6.0,,,1.0,,7.0,,10.0,38.0,5.0,16.0,,6.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9089,Ben Foster,Goalkeeper,Wrexham,109,England,2011-12,0.0,0.0,0.0,3.0,2.0,57.0,1.0,48.0,,12.0,37.0,37.0,510.0,1020.0,363.0,37.0,3.0,10.0,9.0,3330.0,9.0,5.0,1.0,6.0,160.0,2.0,17.0,7.0,147.0,35.0,49.0,3.0,74.0,117.0,2.0,0.0,12.0,1.0,892.0,438.0,37.0,3.0,1.0,,282.0,44.0,9.0,3.0,350.0,469.0,530.0,1.0,2.0,204.0,33.0,54.0,1.0,350.0,1447.0,246.0,228.0,68.0,498.0,18.0,,,,,,,,,,,,,,1.0,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
18151,Marton Fülöp,Goalkeeper,West Bromwich Albion,35,Hungary,2011-12,0.0,0.0,0.0,1.0,,,,,,,1.0,1.0,10.0,22.0,7.0,,,,,90.0,,1.0,,,5.0,,2.0,,3.0,2.0,3.0,1.0,,,,0.0,1.0,,20.0,6.0,1.0,,,,8.0,2.0,1.0,,7.0,10.0,11.0,,,3.0,,2.0,,7.0,28.0,4.0,4.0,,10.0,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38219,Luke Daniels,Goalkeeper,Barrow,573,England,2011-12,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521,Mike Pollitt,Goalkeeper,Wigan Athletic,111,England,2011-12,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28491,Ali Al Habsi,Goalkeeper,West Bromwich Albion U23,7595,Oman,2011-12,0.0,0.0,1.0,4.0,4.0,39.0,1.0,50.0,,13.0,38.0,38.0,360.0,817.0,351.0,15.0,2.0,8.0,8.0,3420.0,4.0,13.0,,3.0,176.0,4.0,23.0,4.0,88.0,30.0,62.0,3.0,73.0,119.0,,0.0,8.0,1.0,678.0,281.0,38.0,3.0,2.0,,208.0,49.0,6.0,1.0,355.0,321.0,366.0,,1.0,150.0,38.0,66.0,1.0,281.0,1169.0,140.0,249.0,69.0,347.0,51.0,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20066,Wayne Hennessey,Goalkeeper,Nottingham Forest,17,Wales,2011-12,0.0,0.0,1.0,2.0,2.0,69.0,2.0,73.0,,13.0,34.0,34.0,698.0,1265.0,311.0,33.0,1.0,3.0,7.0,3060.0,5.0,16.0,,4.0,84.0,2.0,19.0,5.0,315.0,42.0,73.0,2.0,30.0,165.0,2.0,0.0,7.0,,1189.0,422.0,34.0,5.0,1.0,,432.0,57.0,6.0,1.0,268.0,737.0,712.0,2.0,,197.0,36.0,46.0,,483.0,1722.0,442.0,135.0,90.0,685.0,35.0,,,,,,,,,,,,,,,,6.0,,,,,,,,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,
17687,Carl Ikeme,Goalkeeper,Wolverhampton Wanderers,39,Nigeria,2011-12,0.0,0.0,0.0,,,1.0,,1.0,,,1.0,,8.0,13.0,2.0,1.0,,,,38.0,,,,,1.0,,,,4.0,,1.0,,,4.0,,0.0,,,13.0,8.0,1.0,,,,4.0,1.0,,,4.0,9.0,8.0,,,2.0,2.0,,,4.0,22.0,5.0,1.0,3.0,8.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38251,Dorus de Vries,Goalkeeper,Celtic,61,Netherlands,2011-12,0.0,0.0,0.0,,,5.0,1.0,5.0,,1.0,4.0,4.0,56.0,107.0,26.0,1.0,,1.0,,322.0,1.0,2.0,,1.0,11.0,,3.0,,27.0,4.0,8.0,,6.0,12.0,,0.0,1.0,,94.0,40.0,4.0,1.0,,,24.0,6.0,1.0,,30.0,67.0,56.0,,,15.0,5.0,7.0,,40.0,150.0,34.0,27.0,6.0,55.0,6.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
