season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2022-23,10385448,22,7,Aston_Villa,Home,808590,215711,Leon Bailey,leon-bailey,M,False,1.0,,1.0,9.0,5.0,13.0,2.0,2.0,2.0,,,2.0,1.0,,,3.0,11.0,3.0,,,0.175821,0.457,0.3879,1.0,,,,,,,2.0,82.0,2.0,,,,,,,,23.0,,6.5,,,,,,5.0,6.0,,1.0,,17.0,8.0,19.0,4,,44.0,5.0,,1.0,
2022-23,10385448,22,7,Aston_Villa,Home,826204,226944,Boubacar Kamara,boubacar-kamara,M,False,,,,17.0,23.0,40.0,,3.0,6.0,,,,2.0,,,1.0,6.0,9.0,2.0,,0.0747966,,,3.0,,,,,,1.0,1.0,82.0,,,,,,,,,11.0,,6.2,,,,,,3.0,,,1.0,,22.0,26.0,48.0,0,3.0,60.0,2.0,,3.0,1.0
2022-23,10385448,22,7,Aston_Villa,Home,867887,230046,Douglas Luiz,douglas-luiz,M,False,2.0,,7.0,38.0,56.0,92.0,,2.0,9.0,,,,1.0,,,2.0,4.0,5.0,,,0.136229,,,1.0,,,,,,,3.0,90.0,,,,,,,,,18.0,,7.2,,,,,,2.0,8.0,,10.0,1.0,51.0,58.0,101.0,0,1.0,119.0,,,2.0,1.0
2022-23,10385448,22,7,Aston_Villa,Home,975937,232653,Jacob Ramsey,jacob-ramsey,M,False,,,,7.0,7.0,14.0,,,3.0,,,,2.0,,,,2.0,,,,0.0142918,,,,,,,,,,1.0,45.0,,,,,,,,,5.0,,6.2,,,,,,,1.0,,,,9.0,9.0,17.0,0,,22.0,1.0,,,
2022-23,10385452,23,7,Aston_Villa,Away,119159,84583,Philippe Coutinho,philippe-coutinho,M,True,,,1.0,6.0,,6.0,,,1.0,,,,,,,,2.0,4.0,,,0.111531,0.0237,0.2197,1.0,,,,,,1.0,,14.0,1.0,,,,,,,,4.0,,7.4,,,,,1.0,3.0,,,1.0,,8.0,,8.0,1,1.0,21.0,1.0,1.0,2.0,1.0
2022-23,10385452,23,7,Aston_Villa,Away,190405,151589,Leander Dendoncker,leander-dendoncker,M,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385452,23,7,Aston_Villa,Away,250223,122806,John McGinn,john-mcginn,M,True,,,1.0,4.0,5.0,9.0,,,,,,,,,,1.0,1.0,1.0,,,0.00926237,0.0,0.0,,,,,,,1.0,,30.0,,,,,,,,,5.0,,6.6,,,,,,1.0,,,2.0,,6.0,6.0,12.0,0,,17.0,,,1.0,
2022-23,10385452,23,7,Aston_Villa,Away,783126,195546,Emiliano Buendía,emiliano-buendia,M,False,,,,4.0,8.0,12.0,,,1.0,,,,1.0,,,1.0,2.0,,,,0.00625916,0.0,0.0,,,,,,,2.0,,60.0,,,,,,,,,4.0,,6.2,,,,,,,,,1.0,,5.0,8.0,13.0,0,,19.0,1.0,,,
2022-23,10385452,23,7,Aston_Villa,Away,808590,215711,Leon Bailey,leon-bailey,M,False,1.0,,,2.0,3.0,4.0,1.0,1.0,3.0,,,1.0,1.0,,,,4.0,2.0,,,0.00441965,0.1241,0.0,,,,,,,,,60.0,,,,,,,,,7.0,,6.4,,,1.0,,,3.0,1.0,,,,4.0,4.0,7.0,2,,16.0,2.0,,1.0,
2022-23,10385452,23,7,Aston_Villa,Away,826204,226944,Boubacar Kamara,boubacar-kamara,M,False,,,2.0,12.0,20.0,32.0,1.0,,5.0,,,,2.0,,,,3.0,2.0,,,0.00419487,0.0,0.0,,,,,,,1.0,,90.0,,2.0,,,,,,,6.0,,6.5,,,,,,,1.0,,2.0,,15.0,21.0,35.0,0,,45.0,2.0,2.0,,
2022-23,10385452,23,7,Aston_Villa,Away,867887,230046,Douglas Luiz,douglas-luiz,M,False,,,1.0,13.0,21.0,34.0,,,6.0,,,,,,,1.0,3.0,4.0,,,0.0292544,0.0,0.0,2.0,1.0,,,,,2.0,1.0,90.0,,,,,,,,,10.0,,6.8,,,,,,,1.0,,4.0,1.0,18.0,24.0,41.0,0,2.0,51.0,1.0,2.0,,1.0
2022-23,10385452,23,7,Aston_Villa,Away,975937,232653,Jacob Ramsey,jacob-ramsey,M,False,,,,3.0,3.0,6.0,1.0,,1.0,,,,,,,,3.0,3.0,,,0.00547259,0.0,0.0,2.0,,,,,,,,76.0,,,,1.0,,,,,2.0,,6.1,,,,,3.0,1.0,,,,,3.0,4.0,7.0,0,2.0,18.0,,1.0,,
2022-23,10385462,24,7,Aston_Villa,Home,119159,84583,Philippe Coutinho,philippe-coutinho,M,False,,,1.0,6.0,5.0,11.0,1.0,,2.0,,,,2.0,,,3.0,7.0,6.0,,,0.00221612,0.2027,0.3456,1.0,,1.0,,,,,1.0,62.0,1.0,,,,,,,,7.0,,7.1,,,,,,,,,1.0,,8.0,6.0,14.0,1,5.0,29.0,1.0,1.0,,4.0
2022-23,10385462,24,7,Aston_Villa,Home,190405,151589,Leander Dendoncker,leander-dendoncker,M,True,,,,3.0,3.0,6.0,1.0,1.0,1.0,,,,1.0,,,,2.0,1.0,,,0.00095724,0.0,0.0,,,,,,,,,23.0,,1.0,,,,,,,1.0,,6.3,,,,,,,,,,,4.0,3.0,7.0,0,,8.0,,,,
