season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,penaltyConceded,penaltyFaced,penaltyMiss,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2018-19,7827994,13,36,Brighton_and_Hove_Albion,Home,358162,167473,José Izquierdo,jose-izquierdo,F,False,1.0,,,14.0,5.0,18.0,,,4.0,,,,1.0,,,3.0,6.0,8.0,,,,,,,,1.0,2.0,,90.0,,,,,,,15.0,,7.3,,,4.0,,1.0,5.0,2.0,,,2.0,19.0,5.0,22.0,4,5.0,57.0,3.0,,3.0,4.0
2018-19,7828020,14,36,Brighton_and_Hove_Albion,Away,20097,20529,Glenn Murray,glenn-murray,F,True,,,,,3.0,3.0,,1.0,2.0,,,,,,,,,1.0,,,,,,,,,,,11.0,,,,,,,6.0,,6.6,,,,,,,,,,,6.0,3.0,9.0,0,,10.0,,,,
2018-19,7828020,14,36,Brighton_and_Hove_Albion,Away,97409,106757,Jürgen Locadia,jurgen-locadia,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2018-19,7828020,14,36,Brighton_and_Hove_Albion,Away,235444,93284,Florin Andone,florin-andone,F,False,,,,3.0,3.0,6.0,3.0,2.0,1.0,,1.0,1.0,,,,1.0,6.0,3.0,,,1.0,,1.0,,,,,,79.0,1.0,,,,,,8.0,,7.0,,,,,1.0,1.0,,,,2.0,5.0,3.0,8.0,2,,20.0,4.0,1.0,,
2018-19,7828020,14,36,Brighton_and_Hove_Albion,Away,358162,167473,José Izquierdo,jose-izquierdo,F,False,,,1.0,14.0,4.0,18.0,1.0,,3.0,,,1.0,,,,2.0,5.0,,,,1.0,,,,,,2.0,,90.0,1.0,,,,,,10.0,,6.3,,,,,,1.0,,,2.0,1.0,17.0,5.0,22.0,2,,35.0,3.0,,,
2018-19,7828035,15,36,Brighton_and_Hove_Albion,Home,20097,20529,Glenn Murray,glenn-murray,F,False,,,,2.0,2.0,4.0,1.0,2.0,,,,,,,,1.0,3.0,2.0,,,1.0,,1.0,,,,,,35.0,1.0,,,,,,6.0,,7.0,,,1.0,,,,1.0,,,,7.0,2.0,8.0,2,,12.0,,,,
2018-19,7828035,15,36,Brighton_and_Hove_Albion,Home,97409,106757,Jürgen Locadia,jurgen-locadia,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2018-19,7828035,15,36,Brighton_and_Hove_Albion,Home,235444,93284,Florin Andone,florin-andone,F,True,,,,,3.0,3.0,4.0,2.0,9.0,,,,1.0,,,5.0,13.0,8.0,,,1.0,,1.0,,,,,,55.0,1.0,,,,,,18.0,,6.9,,,1.0,,1.0,4.0,,,,,2.0,3.0,5.0,2,2.0,37.0,8.0,3.0,1.0,1.0
2018-19,7828035,15,36,Brighton_and_Hove_Albion,Home,358162,167473,José Izquierdo,jose-izquierdo,F,False,,,,7.0,2.0,9.0,1.0,,3.0,,,,2.0,,,2.0,6.0,2.0,,,1.0,,,,,,,,49.0,,,,,,1.0,9.0,,6.6,,,,,,,,,1.0,,11.0,3.0,14.0,0,1.0,21.0,2.0,1.0,,
2018-19,7828060,16,36,Brighton_and_Hove_Albion,Away,20097,20529,Glenn Murray,glenn-murray,F,True,,,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,,,3.0,1.0,,,2.0,,,,,,1.0,,27.0,1.0,,,,,,1.0,,6.7,,,,,,,,,1.0,,3.0,1.0,4.0,1,,6.0,,,,
2018-19,7828060,16,36,Brighton_and_Hove_Albion,Away,97409,106757,Jürgen Locadia,jurgen-locadia,F,True,,,,5.0,2.0,7.0,1.0,1.0,,,1.0,,,,,,3.0,2.0,,,1.0,,,,,1.0,1.0,,27.0,,,,,,,3.0,,6.4,,,2.0,,,1.0,,,,,7.0,2.0,9.0,2,,14.0,,1.0,,
2018-19,7828060,16,36,Brighton_and_Hove_Albion,Away,235444,93284,Florin Andone,florin-andone,F,False,,,,5.0,1.0,6.0,9.0,2.0,1.0,,,,,,,2.0,13.0,2.0,,,2.0,,,,,,,,63.0,,,,,,,9.0,,6.3,,,,,,,,,,,9.0,1.0,10.0,0,,16.0,2.0,,,
2018-19,7828069,17,36,Brighton_and_Hove_Albion,Home,20097,20529,Glenn Murray,glenn-murray,F,False,,,,7.0,8.0,15.0,3.0,2.0,4.0,,,,1.0,,,,7.0,4.0,,,3.0,,,,,,1.0,,60.0,,,,,,,6.0,,6.6,,,,,,1.0,,,,3.0,9.0,10.0,19.0,0,1.0,24.0,2.0,,1.0,1.0
2018-19,7828069,17,36,Brighton_and_Hove_Albion,Home,97409,106757,Jürgen Locadia,jurgen-locadia,F,True,,,,1.0,1.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,2.0,,6.5,,,,,,,,,,,3.0,1.0,4.0,0,,4.0,,,,
2018-19,7828069,17,36,Brighton_and_Hove_Albion,Home,235444,93284,Florin Andone,florin-andone,F,True,,,,2.0,1.0,3.0,2.0,2.0,1.0,,,,,,,,4.0,4.0,,,2.0,,,,,,,,30.0,,,,,,,4.0,,6.5,,,,,,,,,,,5.0,1.0,6.0,0,,9.0,1.0,2.0,,
2018-19,7828076,18,36,Brighton_and_Hove_Albion,Away,20097,20529,Glenn Murray,glenn-murray,F,True,,,,,1.0,1.0,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,10.0,,,,,,,3.0,,6.5,,,,,,,,,,,1.0,2.0,3.0,0,,4.0,1.0,,,
2018-19,7828076,18,36,Brighton_and_Hove_Albion,Away,97409,106757,Jürgen Locadia,jurgen-locadia,F,False,,,3.0,6.0,2.0,8.0,1.0,1.0,1.0,,,,,,,,1.0,2.0,,,1.0,,,,,,,,70.0,1.0,,,,,,8.0,,6.7,,,,,1.0,,,,4.0,2.0,11.0,4.0,15.0,1,1.0,22.0,1.0,,,1.0
2018-19,7828076,18,36,Brighton_and_Hove_Albion,Away,235444,93284,Florin Andone,florin-andone,F,False,,,,10.0,1.0,11.0,7.0,2.0,2.0,,,1.0,1.0,,,3.0,14.0,5.0,,,1.0,,,,,1.0,,,80.0,1.0,,,,,,13.0,,6.4,,,,,,3.0,,,,,14.0,3.0,17.0,2,,36.0,2.0,2.0,1.0,
2018-19,7828095,19,36,Brighton_and_Hove_Albion,Home,20097,20529,Glenn Murray,glenn-murray,F,False,,,,6.0,2.0,8.0,3.0,2.0,,,,,1.0,,,1.0,7.0,4.0,,,2.0,,,,,,,,79.0,1.0,,,,,,7.0,,6.7,,,1.0,,1.0,,,,,,9.0,3.0,12.0,2,1.0,21.0,2.0,1.0,,
2018-19,7828095,19,36,Brighton_and_Hove_Albion,Home,97409,106757,Jürgen Locadia,jurgen-locadia,F,False,,,1.0,11.0,12.0,23.0,,,7.0,,,,,,,,,2.0,,,,,1.0,,,2.0,1.0,,86.0,1.0,,,,,,9.0,,7.8,,,1.0,,1.0,1.0,1.0,,1.0,,17.0,12.0,28.0,2,1.0,41.0,3.0,,1.0,1.0
