season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2020-21,8896913,5,13,Leicester_City,Home,827681,220627,James Justin,james-justin,D,False,,,2.0,9.0,12.0,21.0,4.0,3.0,3.0,,,,,,1.0,7.0,7.0,,,1.0,,,,,2.0,1.0,,90.0,,1.0,,,,,,19.0,,6.8,,,,,3.0,2.0,1.0,,6.0,,18.0,15.0,32.0,0,1.0,63.0,1.0,2.0,1.0,1.0
2020-21,8896913,5,13,Leicester_City,Home,923894,444463,Wesley Fofana,wesley-fofana,D,False,,,1.0,8.0,23.0,31.0,1.0,7.0,6.0,,,,1.0,,1.0,3.0,12.0,,,,,,,,3.0,,,90.0,,,,,,,,11.0,,7.2,,,,,9.0,,,,4.0,,15.0,24.0,39.0,0,3.0,61.0,2.0,3.0,,2.0
2020-21,8896875,6,13,Leicester_City,Away,1262,37402,Christian Fuchs,christian-fuchs,D,False,,,2.0,24.0,32.0,56.0,,3.0,3.0,,,,,,,1.0,4.0,,,1.0,,,,,2.0,,,90.0,,1.0,,,,,,13.0,,7.3,,,,,6.0,,,,4.0,,31.0,35.0,66.0,0,1.0,86.0,1.0,,,
2020-21,8896875,6,13,Leicester_City,Away,20375,15033,Wes Morgan,wes-morgan,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2020-21,8896875,6,13,Leicester_City,Away,30144,37642,Jonny Evans,jonny-evans,D,False,,,1.0,12.0,32.0,44.0,2.0,3.0,3.0,,,,,,,2.0,4.0,,,1.0,,,,,1.0,,,90.0,,1.0,,,,,,6.0,,7.1,,,,,2.0,,,,4.0,,16.0,34.0,50.0,0,,57.0,,1.0,,
2020-21,8896875,6,13,Leicester_City,Away,329417,166477,Timothy Castagne,timothy-castagne,D,False,,,1.0,9.0,11.0,20.0,,2.0,5.0,,,,,,,2.0,2.0,,,,,,,,,1.0,,90.0,,,,,,,,9.0,,6.6,,,,,8.0,2.0,1.0,,2.0,,12.0,15.0,26.0,0,,44.0,,,,
2020-21,8896875,6,13,Leicester_City,Away,827681,220627,James Justin,james-justin,D,False,,,,10.0,9.0,19.0,1.0,2.0,2.0,,,,1.0,,1.0,3.0,3.0,,,,,,,,,,,90.0,,,,,,,,17.0,,6.4,,,,,1.0,1.0,1.0,,1.0,,18.0,13.0,30.0,0,,42.0,3.0,,1.0,
2020-21,8896875,6,13,Leicester_City,Away,923894,444463,Wesley Fofana,wesley-fofana,D,False,,,3.0,14.0,24.0,38.0,,,5.0,,,,,,2.0,3.0,3.0,,,1.0,,,,,5.0,,,90.0,,1.0,,,,,,8.0,,7.2,,,,,,,,,5.0,,16.0,28.0,44.0,0,1.0,61.0,,2.0,,1.0
2020-21,8896863,7,13,Leicester_City,Away,1262,37402,Christian Fuchs,christian-fuchs,D,False,,,6.0,11.0,19.0,30.0,,1.0,5.0,,,,1.0,,,3.0,5.0,,,1.0,,,,,1.0,,,90.0,,,,,,,,15.0,,6.8,,,,,5.0,1.0,,,11.0,,19.0,22.0,41.0,0,4.0,62.0,,,,2.0
2020-21,8896863,7,13,Leicester_City,Away,20375,15033,Wes Morgan,wes-morgan,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,6.5,,,,,1.0,,,,,,,,,0,,1.0,,,,
2020-21,8896863,7,13,Leicester_City,Away,827681,220627,James Justin,james-justin,D,False,,,2.0,8.0,13.0,21.0,2.0,,2.0,,,,,,,3.0,3.0,,,,,,,,1.0,,,90.0,,1.0,,,,,,14.0,,6.8,,,,,2.0,2.0,2.0,,6.0,,20.0,14.0,32.0,0,2.0,49.0,,,1.0,1.0
2020-21,8896863,7,13,Leicester_City,Away,923894,444463,Wesley Fofana,wesley-fofana,D,False,,,4.0,3.0,19.0,22.0,2.0,2.0,4.0,,,,2.0,,,4.0,4.0,,,,,,,,2.0,,,90.0,,1.0,,,,,,7.0,,6.8,,,,,6.0,1.0,,,8.0,,9.0,20.0,29.0,0,1.0,43.0,,,1.0,1.0
2020-21,8896863,7,13,Leicester_City,Away,991584,244619,Luke Thomas,luke-thomas,D,False,,,,3.0,5.0,8.0,3.0,1.0,6.0,,,,2.0,,2.0,8.0,7.0,,,1.0,,,,,1.0,,,90.0,1.0,,,,,,,16.0,,6.7,,,,,7.0,1.0,1.0,,3.0,,7.0,13.0,19.0,1,4.0,49.0,1.0,1.0,1.0,3.0
2020-21,8896870,8,13,Leicester_City,Home,1262,37402,Christian Fuchs,christian-fuchs,D,False,,,3.0,20.0,20.0,40.0,3.0,2.0,8.0,,,1.0,,,,4.0,6.0,,,1.0,,,,,2.0,,,90.0,,,,,,,,19.0,,7.4,,,1.0,,6.0,,1.0,,7.0,,30.0,25.0,54.0,2,3.0,79.0,,1.0,,1.0
2020-21,8896870,8,13,Leicester_City,Home,20375,15033,Wes Morgan,wes-morgan,D,True,,,1.0,3.0,1.0,4.0,,,1.0,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,6.6,,,,,,,,,1.0,,3.0,1.0,4.0,0,,4.0,,,,
2020-21,8896870,8,13,Leicester_City,Home,30144,37642,Jonny Evans,jonny-evans,D,False,,,3.0,6.0,21.0,27.0,,4.0,4.0,,,,,,,1.0,6.0,,,1.0,,,,,,,,90.0,,,,,,,,10.0,,7.1,,,1.0,,5.0,,,,8.0,,13.0,24.0,37.0,1,2.0,47.0,,,,
2020-21,8896870,8,13,Leicester_City,Home,827681,220627,James Justin,james-justin,D,False,,,,25.0,15.0,40.0,,2.0,7.0,,,,,,1.0,3.0,6.0,,1.0,2.0,,,,,,1.0,,90.0,,,,,,,1.0,19.0,,7.0,,,,,,,5.0,,1.0,,39.0,19.0,53.0,0,3.0,66.0,,1.0,,2.0
