season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2023-24,11352614,30,1,Manchester_United,Away,843200,216051,Diogo Dalot,diogo-dalot,D,False,,,2.0,23.0,13.0,36.0,5.0,1.0,4.0,,,1.0,,,,,6.0,4.0,,,0.0213989,0.0798,,1.0,,,,,,3.0,3.0,,90.0,,2.0,,,,,,10.0,,7.5,,,1.0,,2.0,,2.0,,3.0,,28.0,17.0,43.0,2,2.0,66.0,1.0,1.0,,1.0
2023-24,11352614,30,1,Manchester_United,Away,859999,221820,Lisandro Martínez,lisandro-martinez,D,True,,,,1.0,7.0,8.0,,,2.0,,,,,,,,2.0,,,,0.00020438,,,2.0,,,,,,,,,21.0,,,,,,,,2.0,,6.2,,,,,2.0,,,,2.0,,1.0,9.0,10.0,0,,13.0,,,,
2023-24,11352614,30,1,Manchester_United,Away,863653,214590,Aaron Wan-Bissaka,aaron-wan-bissaka,D,False,1.0,,,25.0,10.0,34.0,3.0,,9.0,,,,,,,,5.0,6.0,,,0.0531572,,,1.0,,,,,,4.0,,,90.0,,,,,,,,12.0,,7.3,,,,,5.0,4.0,1.0,,3.0,,32.0,12.0,43.0,0,3.0,74.0,1.0,,3.0,1.0
2023-24,11352614,30,1,Manchester_United,Away,1136721,518466,Willy Kambwala,kambwala-willy,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2023-24,11352340,31,1,Manchester_United,Away,30144,37642,Jonny Evans,jonny-evans,D,True,,,,1.0,3.0,4.0,,,,,,,,,,,,,,,0.00071693,,,,,,,,,1.0,,,21.0,,2.0,,,,,,,,7.0,,,,,1.0,,,,,,1.0,3.0,4.0,0,,9.0,,,,
2023-24,11352340,31,1,Manchester_United,Away,138310,90152,Raphaël Varane,raphael-varane,D,False,,,2.0,6.0,21.0,27.0,,,5.0,,,,,,,,,1.0,,,0.00199415,,,,,,,,,1.0,,,45.0,,1.0,,,,,,3.0,,6.7,,,,,,,,,3.0,,8.0,22.0,30.0,0,1.0,35.0,,,,1.0
2023-24,11352340,31,1,Manchester_United,Away,149380,95658,Harry Maguire,harry-maguire,D,False,,,2.0,14.0,18.0,32.0,,1.0,3.0,,,,1.0,,,,2.0,1.0,,,0.00484806,0.0812,,2.0,,,,,,2.0,,,90.0,,,,,,,,7.0,,6.3,,,3.0,,6.0,,,,6.0,,20.0,19.0,39.0,3,,51.0,,,,
2023-24,11352340,31,1,Manchester_United,Away,843200,216051,Diogo Dalot,diogo-dalot,D,False,1.0,,,20.0,11.0,30.0,,,3.0,1.0,,1.0,2.0,,,,7.0,5.0,,,0.174369,0.0204,,5.0,1.0,,,,,3.0,2.0,,90.0,,,,1.0,,,,11.0,,6.2,,,,,,1.0,2.0,,4.0,,26.0,13.0,37.0,1,3.0,58.0,1.0,1.0,1.0,1.0
2023-24,11352340,31,1,Manchester_United,Away,863653,214590,Aaron Wan-Bissaka,aaron-wan-bissaka,D,False,,,,8.0,9.0,17.0,2.0,2.0,2.0,,,,,,,1.0,3.0,8.0,,,0.0156126,,,,,,,,,4.0,,,90.0,,1.0,,,,,,7.0,,6.8,,,,,2.0,1.0,,,1.0,,11.0,12.0,23.0,0,3.0,47.0,,2.0,1.0,1.0
2023-24,11352340,31,1,Manchester_United,Away,1136721,518466,Willy Kambwala,kambwala-willy,D,True,,,,1.0,5.0,6.0,,,,,,,,,,,,,,,0.00112972,,,,,,,,,,,,24.0,,,,,,,,2.0,,6.2,,,,,3.0,,,,2.0,,2.0,6.0,8.0,0,,12.0,,,,
