team_dir,season,matchId,gameweek,kickoff,ground,attendance,venue,team,opponent,result,accuratePass,aerialLost,aerialWon,attPenGoal,attSetpiece,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedPass,blockedScoringAtt,challengeLost,cleanSheet,cornerTaken,dispossessed,duelLost,duelWon,effectiveClearance,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,finalThirdEntries,fkFoulLost,fkFoulWon,goalAssist,goals,goalsAgainst,goalsConceded,goalsFor,halfTimeAgainst,halfTimeFor,hitWoodwork,interception,ontargetAttAssist,ontargetScoringAtt,outfielderBlock,ownGoals,penAreaEntries,penaltyWon,possLostAll,possessionPercentage,redCard,redCardsAgainst,redCardsFor,saves,shotOffTarget,totalAttAssist,totalClearance,totalDistance,totalOffside,totalPass,totalScoringAtt,totalTackle,touchesInOppBox,wonCorners,wonTackle,yellowCard
Everton_11,2010-11,321677,3,2010-08-29 16:00:00,"Villa Park, Birmingham",34725,Away,Everton,Aston Villa,L,409.0,14.0,8.0,,1.0,1.0,1.0,,,12.0,5.0,,18.0,14.0,50.0,49.0,16.0,1.0,,,,,,95.0,10.0,20.0,,,1,1.0,0,1,0,1.0,11.0,12.0,5.0,5.0,,25.0,,187.0,68.3,0.0,0,0,,6.0,17.0,23.0,,,517.0,23.0,11.0,,18.0,9.0,0.0
Everton_11,2010-11,321689,4,2010-09-11 12:45:00,"Goodison Park, Liverpool",36556,Home,Everton,Man Utd,D,369.0,11.0,12.0,,1.0,4.0,2.0,2.0,,9.0,4.0,,7.0,10.0,46.0,51.0,10.0,,,,,,,85.0,12.0,19.0,3.0,3.0,3,3.0,3,1,1,1.0,18.0,13.0,6.0,2.0,,29.0,,146.0,52.3,0.0,0,0,,11.0,18.0,20.0,,2.0,441.0,26.0,16.0,,7.0,12.0,0.0
Everton_11,2010-11,321700,5,2010-09-18 15:00:00,"Goodison Park, Liverpool",38019,Home,Everton,Newcastle,L,298.0,8.0,13.0,,3.0,1.0,1.0,,,4.0,8.0,,3.0,12.0,51.0,62.0,15.0,,1.0,,,,,79.0,15.0,21.0,,,1,1.0,0,1,0,1.0,20.0,6.0,3.0,1.0,,34.0,,164.0,51.7,0.0,0,0,,5.0,10.0,21.0,,3.0,387.0,12.0,24.0,,3.0,18.0,0.0
Everton_11,2010-11,321711,6,2010-09-25 15:00:00,"Craven Cottage, London",25598,Away,Everton,Fulham,D,380.0,19.0,24.0,,1.0,1.0,1.0,,,4.0,2.0,1.0,5.0,18.0,56.0,74.0,11.0,,,,,,,94.0,13.0,14.0,,,0,,0,0,0,,13.0,6.0,5.0,1.0,,29.0,,181.0,54.2,0.0,0,0,,7.0,13.0,24.0,,5.0,484.0,16.0,23.0,,5.0,20.0,0.0
Everton_11,2010-11,321717,7,2010-10-02 15:00:00,"St. Andrew's Stadium, Birmingham",23138,Away,Everton,Birmingham,W,286.0,16.0,17.0,,1.0,1.0,1.0,1.0,,4.0,6.0,1.0,5.0,6.0,45.0,40.0,19.0,,1.0,,,,,85.0,11.0,5.0,1.0,2.0,0,,2,0,0,,15.0,5.0,3.0,3.0,,17.0,,150.0,51.0,0.0,0,0,,5.0,9.0,28.0,,2.0,373.0,12.0,9.0,,5.0,6.0,0.0
Everton_11,2010-11,321732,8,2010-10-17 13:30:00,"Goodison Park, Liverpool",39673,Home,Everton,Liverpool,W,191.0,19.0,16.0,,,,,1.0,,5.0,7.0,1.0,8.0,18.0,61.0,60.0,22.0,,1.0,,,,,70.0,10.0,10.0,,2.0,0,,2,0,1,,16.0,6.0,4.0,7.0,,18.0,,174.0,34.1,0.0,0,0,,4.0,8.0,40.0,,,277.0,13.0,27.0,,8.0,19.0,0.0
Everton_11,2010-11,321743,9,2010-10-23 12:45:00,"White Hart Lane, London",35967,Away,Everton,Spurs,D,268.0,8.0,11.0,,1.0,,,,,1.0,11.0,,4.0,22.0,60.0,54.0,17.0,1.0,,,,,,74.0,14.0,15.0,,1.0,1,1.0,1,1,1,,7.0,2.0,2.0,3.0,,19.0,,178.0,46.6,0.0,0,0,,4.0,3.0,32.0,,2.0,355.0,7.0,25.0,,4.0,19.0,0.0
Everton_11,2010-11,321752,10,2010-10-30 15:00:00,"Goodison Park, Liverpool",35513,Home,Everton,Stoke,W,380.0,22.0,17.0,,,,,,,6.0,7.0,1.0,6.0,14.0,64.0,57.0,12.0,,,,,,,78.0,16.0,14.0,,1.0,0,,1,0,0,1.0,12.0,11.0,7.0,2.0,,17.0,,171.0,64.4,0.0,0,0,,6.0,15.0,32.0,,2.0,475.0,19.0,20.0,,6.0,13.0,0.0
Everton_11,2010-11,321760,11,2010-11-06 15:00:00,"Bloomfield Road, Blackpool",16094,Away,Everton,Blackpool,D,328.0,17.0,22.0,,1.0,1.0,1.0,,,7.0,8.0,,7.0,16.0,62.0,77.0,12.0,,,,,,,71.0,15.0,14.0,1.0,2.0,2,2.0,2,1,1,,12.0,9.0,6.0,7.0,,23.0,,178.0,51.8,0.0,0,0,,8.0,16.0,27.0,,3.0,412.0,21.0,31.0,,7.0,22.0,0.0
Everton_11,2010-11,321774,12,2010-11-10 20:00:00,"Goodison Park, Liverpool",31808,Home,Everton,Bolton,D,357.0,23.0,12.0,,1.0,,1.0,,,8.0,5.0,,15.0,23.0,64.0,47.0,15.0,,,,,,,89.0,10.0,12.0,1.0,1.0,1,1.0,1,0,0,,11.0,10.0,7.0,3.0,,25.0,,174.0,64.3,0.0,0,1,,12.0,19.0,36.0,,2.0,429.0,27.0,15.0,,15.0,10.0,0.0
Everton_11,2010-11,321779,13,2010-11-14 14:00:00,"Goodison Park, Liverpool",36279,Home,Everton,Arsenal,L,305.0,15.0,16.0,,1.0,3.0,2.0,1.0,,6.0,8.0,,8.0,15.0,57.0,69.0,14.0,,,,,,,101.0,16.0,14.0,1.0,1.0,2,2.0,1,1,0,,13.0,8.0,6.0,3.0,,29.0,,177.0,48.8,0.0,0,0,,7.0,13.0,21.0,,5.0,413.0,19.0,24.0,,9.0,20.0,0.0
Everton_11,2010-11,321795,14,2010-11-22 20:00:00,"Stadium of Light, Sunderland",37331,Away,Everton,Sunderland,D,327.0,30.0,19.0,,,1.0,1.0,,,3.0,8.0,,4.0,16.0,65.0,49.0,14.0,,,,,,,89.0,8.0,5.0,2.0,2.0,2,2.0,2,1,1,,11.0,9.0,7.0,4.0,,33.0,,228.0,54.7,0.0,0,0,,3.0,12.0,33.0,,5.0,459.0,13.0,23.0,,4.0,16.0,0.0
