team_dir,season,matchId,gameweek,kickoff,ground,attendance,venue,team,opponent,result,accuratePass,aerialLost,aerialWon,attPenGoal,attSetpiece,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedPass,blockedScoringAtt,challengeLost,cleanSheet,cornerTaken,dispossessed,duelLost,duelWon,effectiveClearance,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,finalThirdEntries,fkFoulLost,fkFoulWon,goalAssist,goals,goalsAgainst,goalsConceded,goalsFor,halfTimeAgainst,halfTimeFor,hitWoodwork,interception,ontargetAttAssist,ontargetScoringAtt,outfielderBlock,ownGoals,penAreaEntries,penaltyWon,possLostAll,possessionPercentage,redCard,redCardsAgainst,redCardsFor,saves,shotOffTarget,totalAttAssist,totalClearance,totalDistance,totalOffside,totalPass,totalScoringAtt,totalTackle,touchesInOppBox,wonCorners,wonTackle,yellowCard
A_Villa_7,2024-25,2444811,35,2025-05-03 12:30:00,"Villa Park, Birmingham",42515,Home,Aston Villa,Fulham,W,389.0,11.0,11.0,,,5.0,4.0,1.0,3.0,2.0,7.0,1.0,5.0,16.0,48.0,48.0,27.0,,2.0,1.11688,0.9575,1.2363,0.9935,55.0,6.0,16.0,1.0,1.0,0,,1,0,1,1.0,3.0,5.0,3.0,3.0,,27.0,,104.0,52.0,0.0,0,0,3.0,5.0,11.0,27.0,108100.44,1.0,445.0,10.0,12.0,16.0,5.0,6.0,0.0
A_Villa_7,2024-25,2444820,36,2025-05-10 17:30:00,"Vitality Stadium, Bournemouth",11248,Away,Aston Villa,Bournemouth,W,175.0,9.0,13.0,,,2.0,1.0,1.0,5.0,,9.0,1.0,,7.0,46.0,48.0,23.0,,,0.556873,0.9787,1.3274,0.7006,53.0,12.0,19.0,1.0,1.0,0,,1,0,1,1.0,5.0,2.0,3.0,3.0,,21.0,,132.0,33.8,0.0,0,1,4.0,3.0,3.0,23.0,107987.86,,254.0,6.0,13.0,15.0,,8.0,0.0
A_Villa_7,2024-25,2444831,37,2025-05-16 19:30:00,"Villa Park, Birmingham",42239,Home,Aston Villa,Spurs,W,522.0,4.0,6.0,,1.0,2.0,2.0,1.0,8.0,4.0,4.0,1.0,9.0,8.0,22.0,45.0,9.0,,,1.42056,1.389,2.2199,0.1566,63.0,5.0,11.0,2.0,2.0,0,,2,0,0,,3.0,7.0,7.0,1.0,,48.0,,103.0,67.8,0.0,0,0,1.0,7.0,12.0,9.0,108518.59,1.0,581.0,18.0,16.0,40.0,9.0,14.0,0.0
A_Villa_7,2024-25,2444844,38,2025-05-25 16:00:00,"Old Trafford, Manchester",73839,Away,Aston Villa,Man Utd,L,217.0,22.0,11.0,,,,,,6.0,3.0,1.0,,3.0,10.0,52.0,40.0,20.0,,1.0,0.33676,0.3942,0.0378,2.8425,45.0,10.0,10.0,,,2,2.0,0,0,0,,6.0,2.0,1.0,2.0,,16.0,,129.0,33.2,0.0,0,1,8.0,2.0,4.0,20.0,105343.44,3.0,300.0,6.0,9.0,18.0,3.0,5.0,0.0
Arsenal_3,2024-25,2444471,1,2024-08-17 15:00:00,"Emirates Stadium, London",60261,Home,Arsenal,Wolves,W,357.0,13.0,17.0,,2.0,2.0,1.0,1.0,5.0,6.0,8.0,1.0,8.0,9.0,57.0,58.0,15.0,,2.0,,,,,40.0,17.0,14.0,2.0,2.0,0,,2,0,1,,8.0,12.0,6.0,1.0,,30.0,,110.0,53.0,0.0,0,0,3.0,6.0,17.0,15.0,,,420.0,18.0,18.0,50.0,8.0,13.0,0.0
Arsenal_3,2024-25,2444481,2,2024-08-24 17:30:00,"Villa Park, Birmingham",41587,Away,Arsenal,Aston Villa,W,469.0,10.0,7.0,,,2.0,2.0,,6.0,1.0,11.0,1.0,1.0,13.0,58.0,38.0,15.0,,1.0,,,,,48.0,16.0,8.0,1.0,2.0,0,,2,0,0,,8.0,3.0,4.0,4.0,,30.0,,93.0,60.7,0.0,0,0,3.0,4.0,7.0,15.0,,1.0,514.0,9.0,17.0,35.0,1.0,9.0,0.0
Arsenal_3,2024-25,2444490,3,2024-08-31 12:30:00,"Emirates Stadium, London",60326,Home,Arsenal,Brighton,D,200.0,19.0,14.0,,1.0,5.0,4.0,1.0,8.0,2.0,10.0,,3.0,11.0,58.0,46.0,20.0,,1.0,,,,,37.0,12.0,7.0,1.0,1.0,1,1.0,1,0,1,,12.0,7.0,7.0,8.0,,14.0,,107.0,35.8,0.0,0,1,3.0,2.0,8.0,20.0,100688.91,3.0,270.0,11.0,17.0,31.0,3.0,11.0,0.0
Arsenal_3,2024-25,2444508,4,2024-09-15 14:00:00,"Tottenham Hotspur Stadium, London",61645,Away,Arsenal,Spurs,W,213.0,14.0,15.0,,,2.0,1.0,1.0,11.0,3.0,7.0,1.0,6.0,12.0,51.0,59.0,32.0,,1.0,,,,,37.0,10.0,12.0,1.0,1.0,0,,1,0,0,,9.0,6.0,4.0,5.0,,24.0,,112.0,36.3,0.0,0,0,5.0,,6.0,32.0,107361.27,3.0,282.0,7.0,21.0,24.0,6.0,12.0,0.0
Arsenal_3,2024-25,2444516,5,2024-09-22 16:30:00,"Etihad Stadium, Manchester",52846,Away,Arsenal,Man City,D,148.0,16.0,12.0,,,2.0,2.0,1.0,8.0,,10.0,,2.0,6.0,46.0,37.0,37.0,,1.0,,,,,34.0,10.0,6.0,2.0,2.0,2,2.0,2,1,2,,4.0,2.0,3.0,13.0,,10.0,,89.0,22.8,0.0,0,1,9.0,2.0,4.0,37.0,104725.85,1.0,208.0,5.0,16.0,8.0,2.0,10.0,0.0
Arsenal_3,2024-25,2444521,6,2024-09-28 15:00:00,"Emirates Stadium, London",60323,Home,Arsenal,Leicester,W,592.0,15.0,18.0,0.0,1.0,7.0,6.0,3.0,5.0,9.0,4.0,,17.0,14.0,54.0,61.0,8.0,,,2.46778,4.95706,5.7093,0.2144,62.0,11.0,6.0,2.0,4.0,2,2.0,4,0,2,1.0,4.0,19.0,16.0,1.0,0.0,69.0,,142.0,74.6,0.0,0,0,1.0,10.0,25.0,8.0,110633.19,,664.0,35.0,19.0,77.0,17.0,12.0,0.0
