season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2021-22,9576267,34,13,Leicester_City,Home,345195,168580,Ayoze Pérez,ayoze-perez,F,True,,,,1.0,3.0,4.0,,1.0,1.0,,,,3.0,,,3.0,1.0,,,,,,,,,1.0,,,11.0,,,,,,,,2.0,,6.6,,,,,1.0,,,,,,1.0,3.0,4.0,0,,11.0,2.0,,,
2021-22,9576267,34,13,Leicester_City,Home,359642,173515,Kelechi Iheanacho,kelechi-iheanacho,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576267,34,13,Leicester_City,Home,824200,219352,Ademola Lookman,ademola-lookman,F,False,,,,8.0,5.0,13.0,,,2.0,,,,,,3.0,5.0,4.0,,,2.0,,,,,,,,,80.0,,,,,,,,9.0,,6.4,,,,,,2.0,1.0,,,,13.0,5.0,17.0,0,1.0,32.0,,2.0,1.0,
2021-22,9576267,34,13,Leicester_City,Home,855647,201666,Harvey Barnes,harvey-barnes,F,True,,,,3.0,1.0,4.0,,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,10.0,,,,,,,,,,6.5,,,1.0,,,,,,,,3.0,1.0,4.0,1,,6.0,,,,
2021-22,9576267,34,13,Leicester_City,Home,865057,245419,Patson Daka,patson-daka,F,False,,,1.0,4.0,2.0,6.0,2.0,,4.0,,,,2.0,,1.0,5.0,1.0,,,,,,,,,,,,71.0,1.0,,,,,,,7.0,,6.6,,,,,,,,,2.0,,8.0,2.0,10.0,1,,17.0,2.0,1.0,,
2021-22,9576360,35,13,Leicester_City,Away,173827,101668,Jamie Vardy,jamie-vardy,F,True,,,,3.0,1.0,4.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,,23.0,,,,,,,,3.0,,6.5,,,1.0,,,1.0,,,,,5.0,1.0,6.0,1,,9.0,,,,
2021-22,9576360,35,13,Leicester_City,Away,345195,168580,Ayoze Pérez,ayoze-perez,F,False,,,,17.0,5.0,22.0,1.0,,5.0,,,1.0,2.0,,4.0,9.0,5.0,,,1.0,,,,,,,,,76.0,,1.0,,,,,,12.0,,6.3,,,1.0,,1.0,4.0,,,,,20.0,5.0,25.0,2,,47.0,4.0,2.0,3.0,
2021-22,9576360,35,13,Leicester_City,Away,359642,173515,Kelechi Iheanacho,kelechi-iheanacho,F,False,,,,7.0,7.0,14.0,3.0,,1.0,,,,2.0,,1.0,6.0,3.0,,,,,1.0,,,,,,,90.0,1.0,,,,,,,7.0,,7.2,,,1.0,,2.0,,1.0,,1.0,,10.0,8.0,17.0,2,,33.0,2.0,3.0,,
2021-22,9576360,35,13,Leicester_City,Away,824200,219352,Ademola Lookman,ademola-lookman,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576360,35,13,Leicester_City,Away,855647,201666,Harvey Barnes,harvey-barnes,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576360,35,13,Leicester_City,Away,865057,245419,Patson Daka,patson-daka,F,False,,,,5.0,8.0,13.0,1.0,,1.0,,,,1.0,,2.0,6.0,7.0,,,1.0,,,,,1.0,,1.0,,67.0,1.0,,,,,,,7.0,,6.9,,,,,,1.0,,,,,7.0,9.0,16.0,1,4.0,28.0,1.0,3.0,,2.0
2021-22,9576331,36,13,Leicester_City,Home,173827,101668,Jamie Vardy,jamie-vardy,F,True,,,,1.0,,1.0,3.0,1.0,,,,,,,,3.0,1.0,,,,,,,,,,1.0,,24.0,,,,,,,,1.0,,6.7,,,1.0,,1.0,,,,,,2.0,,2.0,1,,4.0,,,,
2021-22,9576331,36,13,Leicester_City,Home,345195,168580,Ayoze Pérez,ayoze-perez,F,False,,,,7.0,7.0,14.0,1.0,,1.0,,,,3.0,,3.0,8.0,1.0,,,1.0,,,,,,,1.0,,45.0,,,,,,,,11.0,,5.9,,,,,,1.0,,,2.0,,11.0,8.0,19.0,0,,28.0,2.0,,1.0,
2021-22,9576331,36,13,Leicester_City,Home,359642,173515,Kelechi Iheanacho,kelechi-iheanacho,F,False,2.0,,,18.0,4.0,20.0,2.0,,2.0,1.0,,,,,3.0,6.0,2.0,,,,,,,,,,1.0,,90.0,2.0,,,,,,,11.0,,7.3,,,,,,3.0,2.0,,,1.0,23.0,6.0,27.0,2,,41.0,,,2.0,
2021-22,9576331,36,13,Leicester_City,Home,824200,219352,Ademola Lookman,ademola-lookman,F,True,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,2.0,,6.6,,,1.0,,,,,,,,2.0,,2.0,1,,4.0,1.0,,,
2021-22,9576331,36,13,Leicester_City,Home,855647,201666,Harvey Barnes,harvey-barnes,F,True,,,,15.0,8.0,23.0,,1.0,3.0,,1.0,,,,,1.0,4.0,,,,,,,,,,1.0,,45.0,2.0,,,,,,,9.0,,7.0,,,1.0,,,1.0,1.0,,,,18.0,11.0,28.0,3,3.0,40.0,1.0,,,2.0
