season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2024-25,12437053,10,40,Ipswich_Town,Home,997087,463034,Liam Delap,liam-delap,F,False,,,,6.0,,6.0,2.0,,1.0,,,,1.0,,,1.0,8.0,5.0,,,0.0112793,,,3.0,0.0,,,,,,1.0,,75.0,,,,,,,6.0,,6.8,,,,,,5.0,,,,,6.0,1.0,7.0,0,,17.0,3.0,1.0,4.0,
2024-25,12436492,11,40,Ipswich_Town,Away,839712,222625,George Hirst,george-hirst,F,True,,,,4.0,,4.0,,4.0,1.0,,,,,,,1.0,2.0,4.0,,,0.0222151,,,1.0,0.0,,,,,,,,20.0,,,,,,,7.0,,6.7,,,,,1.0,,,,,,8.0,2.0,10.0,0,,16.0,,,,
2024-25,12436492,11,40,Ipswich_Town,Away,997087,463034,Liam Delap,liam-delap,F,False,,,,5.0,,5.0,6.0,,1.0,1.0,,,,,,2.0,12.0,2.0,,,0.0443705,0.8841,0.9951,5.0,1.0,1.0,,,,,2.0,,70.0,1.0,,,,,,9.0,,7.8,,,,,,1.0,,,,,7.0,,7.0,1,,19.0,5.0,1.0,1.0,
2024-25,12436497,12,40,Ipswich_Town,Home,997087,463034,Liam Delap,liam-delap,F,False,,,1.0,8.0,,8.0,4.0,1.0,,,2.0,,1.0,,,,8.0,2.0,,,0.00661099,0.9878,0.8816,2.0,0.0,,,,,,,,81.0,2.0,,,,,,5.0,,5.9,,,1.0,,,2.0,,,1.0,,10.0,,10.0,3,,17.0,1.0,1.0,,
2024-25,12436497,12,40,Ipswich_Town,Home,1010010,,Ali Al-Hamadi,ali-al-hamadi,F,True,,,,2.0,1.0,3.0,1.0,1.0,,,,,,,,,1.0,1.0,,,0.00102591,,,,0.0,,,,,,,,9.0,,,,,,,3.0,,6.5,,,,,,,,,,,3.0,1.0,4.0,0,,6.0,1.0,,,
2024-25,12436503,13,40,Ipswich_Town,Away,911710,173818,Nathan Broadhead,nathan-broadhead,F,True,,,,4.0,,4.0,1.0,,,,,,,,,,1.0,1.0,,,0.00469736,,,,0.0,,,,,,,,11.0,,,,,,,2.0,,6.7,,,,,,,1.0,,,,5.0,1.0,5.0,0,1.0,7.0,,,,1.0
2024-25,12436503,13,40,Ipswich_Town,Away,997087,463034,Liam Delap,liam-delap,F,False,,,,3.0,2.0,5.0,2.0,,1.0,,,1.0,,,,4.0,10.0,1.0,,,0.00822616,0.0414,,1.0,0.0,,,,,,1.0,,90.0,,,,,,,12.0,,6.1,,,,,1.0,4.0,,,,1.0,5.0,3.0,8.0,1,,21.0,2.0,,1.0,
2024-25,12436503,13,40,Ipswich_Town,Away,1010010,,Ali Al-Hamadi,ali-al-hamadi,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12436961,14,40,Ipswich_Town,Home,911710,173818,Nathan Broadhead,nathan-broadhead,F,True,,,,3.0,4.0,7.0,,,3.0,,,,,,,,1.0,3.0,,,0.00267084,,,,0.0,,,,,,,,24.0,,,,,,,6.0,,6.7,,,,,,3.0,,,1.0,,4.0,4.0,8.0,0,1.0,16.0,2.0,,2.0,1.0
2024-25,12436961,14,40,Ipswich_Town,Home,997087,463034,Liam Delap,liam-delap,F,False,,,,4.0,2.0,6.0,1.0,8.0,1.0,,1.0,2.0,,,,4.0,10.0,12.0,,,0.00213125,0.2703,0.0715,4.0,0.0,,,,,,,,79.0,1.0,,,,,,12.0,,6.7,,,1.0,,,1.0,,,1.0,,11.0,2.0,13.0,4,2.0,28.0,,2.0,,2.0
