season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,minutesPlayed,onTargetScoringAttempt,outfielderBlock,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2019-20,8243732,27,3,Arsenal,Home,852404,242166,Mattéo Guendouzi,matteo-guendouzi,M,True,,,,,,,,,1.0,,,,1.0,,,,1.0,2.0,,,,,,,,,,8.0,,,,,,,,,6.8,,,,,,1.0,,,,,,,,0,,2.0,,1.0,1.0,
2019-20,8674008,28,3,Arsenal,Away,117777,84450,Granit Xhaka,granit-xhaka,M,False,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,8.0,,,,,,,,,6.3,,,,,,,,,,,,,,0,,1.0,,,,
2019-20,8674008,28,3,Arsenal,Away,547838,182539,Dani Ceballos,dani-ceballos,M,True,,,1.0,8.0,19.0,27.0,,,4.0,,,,4.0,,,,4.0,5.0,,,,,,,,3.0,,82.0,,,,,,,7.0,,6.5,,,,,1.0,,,,1.0,,13.0,20.0,33.0,0,2.0,45.0,1.0,3.0,,1.0
2019-20,8674008,28,3,Arsenal,Away,826139,200641,Reiss Nelson,reiss-nelson,M,True,,,,,2.0,2.0,,,1.0,,,,,,,1.0,2.0,2.0,,,1.0,,,,,,,23.0,,,,,,,5.0,,6.6,,,,,,1.0,1.0,,,,3.0,2.0,4.0,0,1.0,10.0,1.0,,1.0,1.0
2019-20,8674008,28,3,Arsenal,Away,852404,242166,Mattéo Guendouzi,matteo-guendouzi,M,False,,,,2.0,16.0,18.0,,,8.0,,,,1.0,,,1.0,4.0,3.0,,,1.0,,,,,1.0,,67.0,,,,,,,5.0,,6.3,,,,,,1.0,,,,,4.0,17.0,21.0,0,1.0,31.0,,2.0,,1.0
2019-20,8674008,28,3,Arsenal,Away,888550,200089,Joe Willock,joe-willock,M,False,,,1.0,5.0,11.0,16.0,2.0,,5.0,,,,1.0,,,,3.0,3.0,,,,,,,,1.0,,67.0,,1.0,,,,,5.0,,6.7,,,,,1.0,,2.0,,2.0,,8.0,11.0,17.0,0,3.0,28.0,1.0,,,2.0
2019-20,8243687,29,3,Arsenal,Home,16176,37605,Mesut Özil,mesut-ozil,M,False,,,1.0,35.0,8.0,43.0,,,4.0,1.0,,1.0,,,,1.0,2.0,2.0,,,1.0,1.0,,,,,1.0,89.0,,,,,,,11.0,,7.4,,,,,,1.0,3.0,,1.0,,44.0,8.0,49.0,1,,58.0,,1.0,1.0,
2019-20,8243687,29,3,Arsenal,Home,117777,84450,Granit Xhaka,granit-xhaka,M,False,,,6.0,36.0,29.0,65.0,4.0,,5.0,,,,,,,,5.0,2.0,,1.0,1.0,,,,,1.0,,90.0,,1.0,,,,,12.0,,7.0,,,1.0,,4.0,1.0,1.0,,9.0,,45.0,32.0,76.0,1,1.0,90.0,,,1.0,1.0
2019-20,8243687,29,3,Arsenal,Home,547838,182539,Dani Ceballos,dani-ceballos,M,False,,,6.0,58.0,28.0,86.0,3.0,,14.0,,,,,,,,3.0,8.0,,,,,,,,6.0,1.0,90.0,,,,,,,16.0,,8.2,,,,,1.0,1.0,3.0,,7.0,,70.0,31.0,98.0,0,5.0,121.0,1.0,2.0,1.0,2.0
2019-20,8243687,29,3,Arsenal,Home,826139,200641,Reiss Nelson,reiss-nelson,M,True,,,1.0,3.0,,3.0,1.0,,1.0,,,,,,,,2.0,1.0,,,1.0,,,,,1.0,,21.0,,,,,,,1.0,,6.8,,,1.0,,1.0,,,,1.0,,3.0,1.0,4.0,1,1.0,11.0,,,,1.0
