season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2023-24,11352403,33,31,Crystal_Palace,Away,848276,231747,Jean-Philippe Mateta,jean-philippe-mateta,F,False,,,1.0,6.0,3.0,9.0,5.0,1.0,3.0,,2.0,,,,,5.0,13.0,3.0,,,0.0129157,1.2398,0.7717,2.0,,,,,,,1.0,,89.0,2.0,,,,,,13.0,,6.0,,,1.0,,,2.0,,,1.0,2.0,9.0,5.0,14.0,3,1.0,32.0,2.0,,1.0,1.0
2023-24,11352425,34,31,Crystal_Palace,Home,103045,80146,Jordan Ayew,jordan-ayew,F,True,,,1.0,9.0,6.0,15.0,1.0,,,,,,,,,2.0,4.0,4.0,,,0.00673255,,,,,,,,,1.0,,,22.0,,,,,,,11.0,,6.9,,,,,,2.0,1.0,,1.0,,15.0,6.0,20.0,0,3.0,31.0,2.0,,1.0,2.0
2023-24,11352425,34,31,Crystal_Palace,Home,795228,199670,Odsonne Édouard,odsonne-edouard,F,True,,,,6.0,4.0,10.0,,,,,,,,,,,,1.0,,,0.00768455,,,,,,,,,1.0,,,22.0,,,,,,,1.0,,6.7,,,,,,1.0,,,,,7.0,4.0,11.0,0,,17.0,,,1.0,
2023-24,11352425,34,31,Crystal_Palace,Home,848276,231747,Jean-Philippe Mateta,jean-philippe-mateta,F,False,,,2.0,13.0,3.0,16.0,,,4.0,,1.0,,,,,,1.0,1.0,,,0.0162145,0.8129,1.3692,,,2.0,,,,,2.0,,68.0,3.0,,,,,,6.0,,8.4,,,,,,2.0,1.0,,2.0,,16.0,3.0,18.0,3,,26.0,2.0,,1.0,
2023-24,11352460,35,31,Crystal_Palace,Away,103045,80146,Jordan Ayew,jordan-ayew,F,False,,,1.0,11.0,14.0,25.0,2.0,,7.0,,,,,,,2.0,6.0,8.0,,,0.00670572,,,1.0,,,,,,,,,76.0,,,,,,,19.0,,7.1,,,,,2.0,3.0,9.0,,3.0,,23.0,14.0,28.0,0,3.0,56.0,3.0,3.0,2.0,2.0
2023-24,11352460,35,31,Crystal_Palace,Away,795228,199670,Odsonne Édouard,odsonne-edouard,F,True,,,,4.0,,4.0,1.0,,1.0,,,,,,,1.0,3.0,2.0,,,0.0273646,0.0485,0.2014,,,,,,,,1.0,,21.0,1.0,,,,,,2.0,,6.9,,,,,,1.0,,,,,4.0,,4.0,1,2.0,11.0,,,,1.0
2023-24,11352460,35,31,Crystal_Palace,Away,848276,231747,Jean-Philippe Mateta,jean-philippe-mateta,F,False,,,,6.0,,6.0,2.0,1.0,,,1.0,,,,,4.0,8.0,1.0,,,0.0261883,0.2568,,,,,,,,1.0,,,69.0,,,,,,,9.0,,5.9,,,1.0,,,2.0,,,,,6.0,,6.0,1,,20.0,3.0,,,
2023-24,12226495,36,31,Crystal_Palace,Home,103045,80146,Jordan Ayew,jordan-ayew,F,True,1.0,,,2.0,2.0,3.0,,,,,,,,,,,1.0,,,,0.0216644,0.0468,0.1178,,,,,,,,1.0,,11.0,1.0,,,,,,2.0,,6.7,,,,,,1.0,2.0,,,,3.0,2.0,3.0,1,,7.0,,,,
2023-24,12226495,36,31,Crystal_Palace,Home,795228,199670,Odsonne Édouard,odsonne-edouard,F,True,,,1.0,6.0,1.0,7.0,1.0,,,,,,1.0,,,,5.0,3.0,,,0.0144524,0.041,,2.0,,,,,1.0,,1.0,,22.0,,,,,,,4.0,,7.0,,,1.0,,,3.0,,,1.0,,7.0,2.0,9.0,1,1.0,16.0,1.0,,2.0,1.0
2023-24,12226495,36,31,Crystal_Palace,Home,848276,231747,Jean-Philippe Mateta,jean-philippe-mateta,F,False,,,,7.0,2.0,9.0,1.0,1.0,4.0,,,,,,,2.0,6.0,3.0,,,0.0102125,0.1361,0.3555,,,1.0,,,,,,,68.0,1.0,,,,,,14.0,,7.0,,,,,,4.0,1.0,,,,12.0,2.0,13.0,1,,29.0,4.0,1.0,1.0,
2023-24,11352516,37,31,Crystal_Palace,Away,103045,80146,Jordan Ayew,jordan-ayew,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2023-24,11352516,37,31,Crystal_Palace,Away,795228,199670,Odsonne Édouard,odsonne-edouard,F,True,,,,2.0,,2.0,3.0,1.0,,,,,,,,1.0,5.0,3.0,,,0.0222077,,,2.0,,,,,,,,,21.0,,,,,,,4.0,,6.5,,,,,,1.0,,,,1.0,2.0,,2.0,0,,9.0,3.0,1.0,1.0,
2023-24,11352516,37,31,Crystal_Palace,Away,848276,231747,Jean-Philippe Mateta,jean-philippe-mateta,F,False,1.0,,,3.0,3.0,5.0,1.0,1.0,2.0,1.0,,,,,,,1.0,4.0,,,0.0549292,0.7744,0.7104,,,1.0,,,,,2.0,,69.0,1.0,,,,,,4.0,,7.7,,,,,1.0,,1.0,,1.0,2.0,4.0,4.0,7.0,1,2.0,17.0,2.0,1.0,,2.0
2023-24,11352562,38,31,Crystal_Palace,Home,103045,80146,Jordan Ayew,jordan-ayew,F,True,,,,2.0,3.0,5.0,,,,,,,,,,,1.0,,,,0.00049972,,,1.0,0.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,2.0,3.0,5.0,0,,5.0,,,,
2023-24,11352562,38,31,Crystal_Palace,Home,795228,199670,Odsonne Édouard,odsonne-edouard,F,True,,,,3.0,,3.0,1.0,,,,,,,,,,1.0,1.0,,,0.00335215,,,,0.0,,,,,,,,14.0,,,,,,,2.0,,6.6,,,,,,,,,,,4.0,,4.0,0,,6.0,1.0,1.0,,
2023-24,11352562,38,31,Crystal_Palace,Home,848276,231747,Jean-Philippe Mateta,jean-philippe-mateta,F,False,,,,7.0,4.0,11.0,,,1.0,,,,,,,,,3.0,,,0.062757,1.565,2.4911,,1.0,3.0,,,,,2.0,,76.0,3.0,,,,,,3.0,,9.8,,,,,1.0,,,,,1.0,9.0,4.0,13.0,3,1.0,21.0,1.0,2.0,,
