season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2016-17,7090094,14,13,Leicester_City,Away,1262,37402.0,Christian Fuchs,christian-fuchs,D,False,2.0,,1.0,25.0,15.0,38.0,,2.0,5.0,,,,3.0,,,,6.0,4.0,,,2.0,,,,1.0,3.0,2.0,,90.0,,,,,,,,21.0,,6.5,,,,7.0,1.0,5.0,,8.0,,37.0,18.0,50.0,0,2.0,87.0,,,,1.0
2016-17,7090094,14,13,Leicester_City,Away,16807,38038.0,Ben Hamer,ben-hamer,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2016-17,7090094,14,13,Leicester_City,Away,19303,78412.0,Shinji Okazaki,shinji-okazaki,F,True,,,,1.0,1.0,2.0,3.0,,,,,,2.0,,,,7.0,1.0,,,,,1.0,,,,,,22.0,1.0,,,,,,,4.0,,6.8,,,,1.0,2.0,,,,,2.0,1.0,3.0,1,,10.0,1.0,1.0,,
2016-17,7090094,14,13,Leicester_City,Away,20375,15033.0,Wes Morgan,wes-morgan,D,False,,,1.0,4.0,6.0,10.0,,4.0,1.0,,,,1.0,,,,2.0,5.0,,,1.0,,,,,1.0,,,90.0,1.0,2.0,,,,,,12.0,,6.6,,,2.0,4.0,,,,5.0,,11.0,10.0,21.0,3,1.0,35.0,1.0,,,
2016-17,7090094,14,13,Leicester_City,Away,30502,40725.0,Danny Simpson,danny-simpson,D,False,,,1.0,6.0,10.0,16.0,1.0,1.0,7.0,,,1.0,,,,,2.0,3.0,,,,,,,,,,,90.0,,,,,,,,13.0,,6.4,,,,3.0,1.0,1.0,,5.0,,10.0,14.0,23.0,1,2.0,44.0,1.0,,,1.0
2016-17,7090094,14,13,Leicester_City,Away,30530,13152.0,Andy King,andy-king,M,False,,,5.0,21.0,15.0,36.0,2.0,,8.0,,,,1.0,,,,4.0,5.0,,,,,,,,,,,90.0,1.0,1.0,,,,,,10.0,,7.1,,,,,2.0,1.0,,7.0,,29.0,15.0,43.0,1,3.0,54.0,1.0,1.0,1.0,3.0
2016-17,7090094,14,13,Leicester_City,Away,41615,51934.0,Ron-Robert Zieler,ron-robert-zieler,G,False,,1.0,5.0,5.0,4.0,9.0,1.0,,8.0,,,,,,,,1.0,,,,,,,,,,,,90.0,,,,,,,,12.0,,6.8,3.0,5.0,,,,,1.0,17.0,,16.0,5.0,21.0,0,,28.0,,,,
2016-17,7090094,14,13,Leicester_City,Away,47737,51938.0,Marc Albrighton,marc-albrighton,M,False,2.0,,2.0,16.0,6.0,20.0,,1.0,10.0,,,1.0,3.0,,,,6.0,4.0,,,1.0,,,,,5.0,2.0,,73.0,1.0,,,,,,,22.0,,7.0,,,,2.0,5.0,7.0,,4.0,,29.0,9.0,31.0,2,,60.0,1.0,,3.0,
2016-17,7090094,14,13,Leicester_City,Away,123166,86881.0,Nampalys Mendy,nampalys-mendy,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2016-17,7090094,14,13,Leicester_City,Away,139502,90714.0,Ahmed Musa,ahmed-musa,F,True,,,,5.0,1.0,6.0,,,2.0,,,1.0,,,,,,,,,,,,,,,,,17.0,,,,,,,,4.0,,6.5,,,,,,1.0,,1.0,,7.0,2.0,8.0,1,,11.0,1.0,,,
