season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2021-22,9576288,28,39,Wolverhampton_Wanderers,Home,954044,441271,Ki-Jana Hoever,ki-jana-hoever,D,False,,,,6.0,1.0,7.0,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,25.0,,,,,,,5.0,,6.3,,,,,,1.0,,,,,8.0,1.0,9.0,0,,14.0,1.0,1.0,,
2021-22,9576252,29,39,Wolverhampton_Wanderers,Away,98449,94147,Conor Coady,conor-coady,D,False,,,8.0,10.0,49.0,59.0,,2.0,6.0,,,,,,,,2.0,2.0,,,2.0,,1.0,,,,,,,90.0,1.0,,,,,,5.0,,7.8,,,,,5.0,,,,11.0,,12.0,52.0,64.0,1,,72.0,,,,
2021-22,9576252,29,39,Wolverhampton_Wanderers,Away,139310,90585,Willy Boly,willy-boly,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576252,29,39,Wolverhampton_Wanderers,Away,143593,111291,Marçal,marcal,D,False,,,2.0,17.0,16.0,33.0,1.0,2.0,4.0,,,1.0,1.0,,,,3.0,3.0,,,1.0,,,,,,4.0,1.0,,90.0,,,,,,,12.0,,6.9,,,,,2.0,1.0,4.0,,4.0,,25.0,18.0,39.0,1,,60.0,2.0,,1.0,
2021-22,9576252,29,39,Wolverhampton_Wanderers,Away,187729,107613,Romain Saïss,romain-saiss,D,False,,,9.0,12.0,41.0,53.0,1.0,2.0,8.0,,,,1.0,,,1.0,3.0,3.0,,,,,,,,,,,,90.0,,,,,,,15.0,,7.0,,,,,3.0,,,,13.0,,20.0,47.0,67.0,0,1.0,77.0,,,,1.0
2021-22,9576252,29,39,Wolverhampton_Wanderers,Away,235648,114128,Jonny Otto,jonny-otto,D,False,,,,26.0,18.0,44.0,,,5.0,,,,,,,3.0,8.0,2.0,,,2.0,,,,,,2.0,3.0,,90.0,,,,,,,16.0,,6.3,,,1.0,,,3.0,1.0,,1.0,,31.0,19.0,49.0,1,,78.0,3.0,2.0,,
2021-22,9576252,29,39,Wolverhampton_Wanderers,Away,894474,214048,Max Kilman,max-kilman,D,False,,,2.0,26.0,37.0,63.0,2.0,4.0,2.0,,,,,,,,2.0,6.0,,,,,,,,,1.0,,,90.0,,,,,,,11.0,,7.3,,,,,5.0,,,,3.0,,29.0,44.0,73.0,0,2.0,83.0,1.0,,,2.0
2021-22,9576252,29,39,Wolverhampton_Wanderers,Away,931278,448514,Rayan Aït-Nouri,rayan-ait-nouri,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576252,29,39,Wolverhampton_Wanderers,Away,973418,510362,Toti Gomes,toti-gomes,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576425,30,39,Wolverhampton_Wanderers,Home,98449,94147,Conor Coady,conor-coady,D,False,,,11.0,4.0,40.0,44.0,,,4.0,,,1.0,,1.0,,,2.0,,,,2.0,,,,,,1.0,,,90.0,,1.0,,,,,2.0,,7.0,,,,,2.0,,,,12.0,,6.0,40.0,46.0,1,,53.0,,,,
2021-22,9576425,30,39,Wolverhampton_Wanderers,Home,139310,90585,Willy Boly,willy-boly,D,False,,,3.0,10.0,35.0,45.0,3.0,4.0,13.0,,,,,,,,6.0,7.0,,,1.0,,,,,,1.0,,,90.0,,,,,,,18.0,,6.1,,,,,4.0,4.0,,,13.0,,23.0,37.0,60.0,0,1.0,71.0,1.0,,2.0,1.0
2021-22,9576425,30,39,Wolverhampton_Wanderers,Home,143593,111291,Marçal,marcal,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576425,30,39,Wolverhampton_Wanderers,Home,187729,107613,Romain Saïss,romain-saiss,D,False,,,5.0,10.0,36.0,46.0,2.0,,6.0,,,,,,,,6.0,2.0,1.0,,2.0,,,,,,4.0,1.0,,90.0,,1.0,,,,,8.0,,6.1,,,,,4.0,2.0,,,7.0,,11.0,41.0,52.0,0,1.0,67.0,,1.0,,1.0
2021-22,9576425,30,39,Wolverhampton_Wanderers,Home,235648,114128,Jonny Otto,jonny-otto,D,False,1.0,,1.0,13.0,11.0,23.0,,2.0,3.0,,,,1.0,,,1.0,4.0,10.0,,,1.0,,1.0,,,,1.0,1.0,,89.0,2.0,,,,,,18.0,,7.7,,,,,,2.0,1.0,,1.0,,15.0,16.0,30.0,2,4.0,65.0,5.0,3.0,1.0,3.0
2021-22,9576425,30,39,Wolverhampton_Wanderers,Home,894474,214048,Max Kilman,max-kilman,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576425,30,39,Wolverhampton_Wanderers,Home,931278,448514,Rayan Aït-Nouri,rayan-ait-nouri,D,False,1.0,,2.0,13.0,8.0,20.0,1.0,,4.0,,,,2.0,,,,7.0,5.0,,,,,,,,,,1.0,,90.0,,,,,,,17.0,,6.2,,,,,1.0,6.0,4.0,,4.0,,20.0,11.0,27.0,0,1.0,57.0,3.0,2.0,2.0,1.0
2021-22,9576425,30,39,Wolverhampton_Wanderers,Home,973418,510362,Toti Gomes,toti-gomes,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576447,31,39,Wolverhampton_Wanderers,Home,98449,94147,Conor Coady,conor-coady,D,False,,,,,19.0,19.0,,,5.0,,,,,,,,1.0,,,,1.0,,,,,,,,,90.0,,1.0,,,,,3.0,,6.4,,,,,1.0,,,,,,,21.0,21.0,0,,24.0,,,,
2021-22,9576447,31,39,Wolverhampton_Wanderers,Home,139310,90585,Willy Boly,willy-boly,D,False,,,3.0,12.0,34.0,46.0,4.0,2.0,5.0,,,,,,,,5.0,5.0,,,1.0,,,,,,3.0,,,90.0,,,,,,,6.0,,7.0,,,,,7.0,,,,7.0,,17.0,35.0,52.0,0,2.0,70.0,,1.0,,1.0
2021-22,9576447,31,39,Wolverhampton_Wanderers,Home,143593,111291,Marçal,marcal,D,False,1.0,,2.0,14.0,18.0,31.0,,1.0,8.0,,,,1.0,,,,4.0,4.0,,,1.0,,,,,,1.0,1.0,,90.0,,1.0,,,,,22.0,,7.1,,,,,2.0,3.0,2.0,,6.0,,23.0,25.0,46.0,0,2.0,75.0,3.0,,1.0,
2021-22,9576447,31,39,Wolverhampton_Wanderers,Home,187729,107613,Romain Saïss,romain-saiss,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576447,31,39,Wolverhampton_Wanderers,Home,235648,114128,Jonny Otto,jonny-otto,D,False,,,2.0,12.0,23.0,35.0,1.0,1.0,7.0,1.0,,,,,,1.0,4.0,6.0,,,3.0,,1.0,,,,,1.0,,90.0,1.0,,,,,,14.0,,7.5,,,,,,1.0,,,5.0,,20.0,28.0,48.0,1,1.0,68.0,,3.0,1.0,1.0
2021-22,9576447,31,39,Wolverhampton_Wanderers,Home,252821,200402,Nélson Semedo,nelson-semedo,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576447,31,39,Wolverhampton_Wanderers,Home,894474,214048,Max Kilman,max-kilman,D,False,,,3.0,12.0,32.0,44.0,,6.0,4.0,,,,,,,,,8.0,,,,,,,,,1.0,,,90.0,,1.0,,,,,5.0,,7.3,,,,,5.0,,,,4.0,,13.0,35.0,48.0,0,2.0,60.0,1.0,,,1.0
2021-22,9576447,31,39,Wolverhampton_Wanderers,Home,931278,448514,Rayan Aït-Nouri,rayan-ait-nouri,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576447,31,39,Wolverhampton_Wanderers,Home,973418,510362,Toti Gomes,toti-gomes,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576280,32,39,Wolverhampton_Wanderers,Away,98449,94147,Conor Coady,conor-coady,D,False,,,2.0,10.0,48.0,58.0,1.0,,4.0,,,,,,,,1.0,,,,,,,,,,,,,90.0,,1.0,,,,,6.0,,6.8,,,,,4.0,,,,5.0,,15.0,49.0,64.0,0,,70.0,,,,
