playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,expectedAssists,totalRedCards,catches,totalTackles,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,punches,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,rightsidePasses,savesMade,totalFoulsWon,duels,putthroughBlockedDistributionWon,goalkeeperSmother,forwardPasses,recoveries,appearances,drops,crossesNotClaimed,tacklesLost,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,successfulDribbles,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,successfulLongPasses,touches,substituteOff,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,groundDuelsLost,substituteOn,successfulCrossesOpenPlay,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalShots,throughBalls,goalAssists,successfulLayoffs,unsuccessfulCrossesOpenPlay,successfulCrossesAndCorners,iboxTarget,shotsOnTargetInBox,totalTouchesInOppositionBox,throwInsToOppositionPlayer,shotsBlockedInBox,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,iboxBlocked,shotsOffTargetIncWoodwork,cornersWon,tacklesWon,blocks,totalFoulsConceded,interceptions,backwardPasses,throwInsToOwnPlayer,foulAttemptedTackle,expectedGoals,goals,oboxBlocked,headedGoals,shotsBlockedOutsideBox,offsides,expectedGoalsFreekick,foulWonPenalty,cornersTakenInclShortCorners,shotsOnTargetOutsideBox,successfulCornersIntoBox,penaltiesTaken,oboxTarget,leftFootGoals,freekickTotal,attemptsFromSetPieces,unsuccessfulCornersIntoBox,hitWoodwork,ownGoalScored,handballsConceded,clearancesOffTheLine,rightFootGoals,unsuccessfulLayoffs,penaltyGoals,penaltiesConceded,otherGoals
20664,David Silva,Midfielder,Real Sociedad,188,Spain,2015-16,143.0,5.4366,0.0,,36.0,,167.0,24.0,22.0,188.0,1386.0,,23.0,5.0,,1800.0,14.0,110.0,3.0,50.0,101.0,1148.0,,18.6381,56.0,2.0,3.0,18.0,339.0,,34.0,253.0,18.0,,477.0,122.0,24.0,,,11.0,942.0,15.0,230.0,9.0,0.0,,1365.0,355.0,31.0,,,361.0,50.0,1773.0,12.0,5.0,289.0,,1.0,21.0,31.0,129.0,2.0,4.0,11.0,4.0,1.4695,18.0,11.0,11.0,72.0,25.0,33.0,1.0,1.0,1.0,,3.0,17.0,63.0,3.0,14.0,16.0,25.0,,19.0,16.0,209.0,3.0,13.0,2.6438,2.0,8.0,,8.0,,0.1762,1.0,57.0,1.0,24.0,,1.0,1.0,2.0,2.0,31.0,1.0,,2.0,,1.0,2.0,,,
27789,Fernandinho,Midfielder,Manchester City,43,Brazil,2015-16,201.0,2.2167,0.0,,105.0,,193.0,33.0,31.0,236.0,1872.0,,88.0,13.0,,2732.0,45.0,210.0,7.0,62.0,167.0,1553.0,,28.7539,27.0,2.0,44.0,31.0,501.0,,34.0,411.0,39.0,,681.0,189.0,33.0,,,32.0,1152.0,24.0,323.0,43.0,0.0,,1846.0,329.0,30.0,,,551.0,83.0,2344.0,4.0,7.0,487.0,,8.0,43.0,58.0,156.0,2.0,3.0,8.0,5.0,1.3153,21.0,5.0,2.0,26.0,8.0,3.0,3.0,3.0,1.0,,1.0,15.0,8.0,1.0,16.0,3.0,73.0,7.0,55.0,56.0,139.0,5.0,36.0,1.3839,2.0,7.0,,7.0,,,1.0,,,,,,,,,,1.0,,3.0,,2.0,1.0,,,
14664,Yaya Touré,Midfielder,Manchester City,43,Cote d’Ivoire,2015-16,162.0,3.7916,0.0,,43.0,,199.0,32.0,28.0,249.0,1838.0,,61.0,8.0,,2331.0,33.0,155.0,5.0,42.0,127.0,1481.0,,20.9445,39.0,,35.0,23.0,508.0,,26.0,317.0,17.0,,500.0,158.0,32.0,,,16.0,1040.0,18.0,256.0,28.0,0.0,,1779.0,366.0,58.0,,,587.0,108.0,2263.0,12.0,7.0,552.0,,3.0,50.0,47.0,129.0,4.0,2.0,27.0,23.0,6.7726,50.0,20.0,5.0,70.0,9.0,3.0,4.0,4.0,,,9.0,16.0,9.0,9.0,27.0,12.0,27.0,2.0,27.0,25.0,243.0,,13.0,6.3029,6.0,18.0,,18.0,2.0,0.7014,,,13.0,,1.0,13.0,3.0,10.0,10.0,,1.0,,,,3.0,3.0,1.0,,
136380,Bersant Celina,Midfielder,Stoke City,110,Kosovo,2015-16,,0.0757,0.0,,1.0,,,1.0,,,12.0,,,,,13.0,,1.0,,,1.0,12.0,,,1.0,,,,,,,1.0,,,4.0,,1.0,,,,8.0,,1.0,,0.0,,12.0,2.0,,,,2.0,,17.0,,,6.0,,0.0,,,,1.0,1.0,,,,,,1.0,,1.0,2.0,,,,,,,2.0,,,1.0,1.0,,,,6.0,,,,,,,,,,,2.0,,1.0,,,,,,1.0,,,,,,,,,
109006,James Horsfield,Defender,Scunthorpe United,93,England,2015-16,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109652,Brandon Barker,Forward,Morecambe,286,England,2015-16,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178871,Aleix García,Midfielder,Bayer 04 Leverkusen,164,Spain,2015-16,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175352,Manu García,Midfielder,Manchester City U21,1050,Spain,2015-16,2.0,0.0182,0.0,,,,,1.0,,,18.0,,,,,10.0,,,,,,17.0,,,,,,,4.0,,,2.0,,,4.0,,1.0,,,,12.0,,2.0,,0.0,,18.0,1.0,,,,7.0,1.0,20.0,,,6.0,,0.0,,,2.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103955,Raheem Sterling,Forward,Chelsea,8,England,2015-16,167.0,2.59,0.0,,34.0,,114.0,31.0,23.0,124.0,846.0,,30.0,1.0,,1925.0,22.0,136.0,5.0,55.0,128.0,712.0,,26.4802,33.0,4.0,3.0,30.0,279.0,,53.0,303.0,19.0,,213.0,117.0,31.0,,,9.0,574.0,25.0,273.0,8.0,0.0,,842.0,336.0,41.0,,,117.0,10.0,1310.0,15.0,4.0,153.0,,1.0,10.0,21.0,145.0,8.0,2.0,16.0,22.0,6.901,36.0,4.0,2.0,60.0,52.0,5.0,12.0,12.0,8.0,,11.0,38.0,53.0,11.0,14.0,22.0,25.0,,26.0,16.0,237.0,3.0,7.0,6.5227,6.0,5.0,1.0,5.0,5.0,,1.0,5.0,4.0,2.0,,4.0,,,,1.0,,,5.0,,5.0,4.0,,1.0,
37572,Sergio Agüero,Forward,Manchester City,43,Argentina,2015-16,221.0,2.5544,0.0,,15.0,,106.0,30.0,29.0,111.0,727.0,,29.0,5.0,,2373.0,20.0,126.0,6.0,30.0,117.0,602.0,,24.7989,25.0,,,30.0,176.0,,36.0,347.0,9.0,,163.0,91.0,30.0,,,3.0,511.0,24.0,318.0,9.0,0.0,,698.0,365.0,66.0,,,202.0,14.0,1261.0,16.0,,108.0,,1.0,5.0,6.0,201.0,1.0,3.0,26.0,52.0,19.8773,93.0,6.0,2.0,56.0,17.0,3.0,23.0,23.0,,1.0,22.0,62.0,17.0,22.0,41.0,27.0,12.0,1.0,20.0,6.0,186.0,2.0,13.0,18.7109,24.0,4.0,5.0,4.0,27.0,0.0656,1.0,,5.0,,5.0,5.0,3.0,1.0,1.0,,4.0,,,,16.0,5.0,4.0,,
57001,Wilfried Bony,Forward,Swansea City U23,8950,Cote d’Ivoire,2015-16,108.0,1.7528,0.0,,9.0,,89.0,26.0,13.0,91.0,408.0,,94.0,,,1223.0,46.0,87.0,1.0,11.0,39.0,313.0,,11.8786,10.0,,8.0,11.0,105.0,,20.0,195.0,4.0,,76.0,37.0,26.0,,,2.0,242.0,10.0,101.0,48.0,0.0,,395.0,165.0,11.0,,,100.0,4.0,606.0,9.0,,75.0,,1.0,2.0,12.0,62.0,13.0,,20.0,17.0,4.993,40.0,6.0,3.0,51.0,1.0,,9.0,9.0,1.0,,13.0,5.0,1.0,13.0,23.0,13.0,7.0,1.0,17.0,2.0,127.0,,10.0,6.5284,4.0,7.0,2.0,7.0,7.0,,,,4.0,,1.0,4.0,2.0,,,,1.0,,,,,7.0,,,
173515,Kelechi Iheanacho,Forward,Celtic,61,Nigeria,2015-16,116.0,1.354,0.0,,14.0,,78.0,26.0,7.0,80.0,346.0,,63.0,1.0,,751.0,49.0,46.0,1.0,21.0,32.0,261.0,,10.7175,13.0,,6.0,12.0,57.0,,5.0,162.0,4.0,,102.0,27.0,26.0,,,3.0,198.0,11.0,99.0,14.0,0.0,,329.0,162.0,13.0,,,88.0,5.0,513.0,5.0,1.0,69.0,,1.0,2.0,11.0,67.0,19.0,1.0,7.0,12.0,6.9534,21.0,,1.0,42.0,9.0,1.0,3.0,3.0,2.0,,3.0,5.0,9.0,3.0,9.0,6.0,11.0,,17.0,3.0,99.0,4.0,4.0,4.5527,8.0,4.0,1.0,4.0,3.0,,2.0,1.0,1.0,,,1.0,5.0,,,,,,,,1.0,5.0,,,1.0
