season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,penaltyConceded,penaltyFaced,penaltyMiss,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2017-18,7437733,2,14,Liverpool,Home,174135,104542,Loris Karius,loris-karius,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2017-18,7437733,2,14,Liverpool,Home,190399,152760,Divock Origi,divock-origi,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2017-18,7437733,2,14,Liverpool,Home,217704,110979,Sadio Mané,sadio-mane,M,False,,,1.0,32.0,10.0,42.0,1.0,1.0,3.0,,1.0,1.0,,,,2.0,6.0,4.0,,,1.0,,1.0,,,,1.0,,90.0,4.0,,,,,,,25.0,,7.6,,,,,4.0,3.0,,2.0,,44.0,11.0,52.0,5,1.0,77.0,7.0,,2.0,
2017-18,7437733,2,14,Liverpool,Home,262911,122798,Andy Robertson,andy-robertson,D,False,2.0,,1.0,61.0,33.0,92.0,1.0,,8.0,2.0,,,2.0,,,2.0,5.0,1.0,,,,,,,,1.0,3.0,,90.0,1.0,,,,,,,25.0,,7.7,,,1.0,2.0,,10.0,,2.0,,82.0,34.0,106.0,2,1.0,134.0,1.0,,,
2017-18,7437733,2,14,Liverpool,Home,318927,171287,Joe Gomez,joe-gomez,D,False,1.0,,2.0,25.0,32.0,56.0,,,10.0,,,,,,,3.0,3.0,6.0,,,,,,,,1.0,2.0,,90.0,,,,,,,,18.0,,7.5,,,,1.0,1.0,2.0,,4.0,,36.0,34.0,68.0,0,4.0,92.0,,1.0,1.0,
2017-18,7437733,2,14,Liverpool,Home,361420,154566,Dominic Solanke,dominic-solanke,F,True,,,,4.0,2.0,6.0,,1.0,1.0,,,,,,,1.0,2.0,2.0,,,1.0,,,,,,1.0,,19.0,1.0,,,,,,,3.0,,6.8,,,,1.0,,,,1.0,,6.0,2.0,8.0,1,1.0,13.0,,,,
2017-18,7437766,3,14,Liverpool,Home,791,15157,James Milner,james-milner,M,True,,,2.0,4.0,7.0,11.0,,,1.0,,,,,,,1.0,1.0,,,,,,,,,2.0,1.0,,10.0,,,,,,,,2.0,,6.7,,,,,,,,3.0,,5.0,7.0,12.0,0,,15.0,,,,
2017-18,7437766,3,14,Liverpool,Home,10122,33871,Ragnar Klavan,ragnar-klavan,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2017-18,7437766,3,14,Liverpool,Home,20963,40755,Daniel Sturridge,daniel-sturridge,F,True,,,,2.0,,2.0,,1.0,,,,,,,,,,1.0,,,,,1.0,,,,,,16.0,2.0,,,,,,,1.0,,7.6,,,,,,,,,,3.0,,3.0,2,,5.0,,,,
2017-18,7437766,3,14,Liverpool,Home,22126,41733,Georginio Wijnaldum,georginio-wijnaldum,M,False,,,2.0,22.0,15.0,37.0,2.0,,4.0,,,,,,,2.0,4.0,7.0,,,,,,,,,2.0,,90.0,,,,,,,,10.0,,7.6,,,1.0,,7.0,,,2.0,,28.0,15.0,43.0,1,,56.0,1.0,,7.0,
2017-18,7437766,3,14,Liverpool,Home,39480,38454,Dejan Lovren,dejan-lovren,D,False,,,1.0,7.0,48.0,55.0,1.0,,3.0,,,,,,,,2.0,2.0,,,1.0,,,,,1.0,,,90.0,,,,,,,,6.0,,6.9,,,,3.0,,,,6.0,1.0,13.0,48.0,61.0,0,2.0,70.0,,,,
2017-18,7437766,3,14,Liverpool,Home,42694,56979,Jordan Henderson,jordan-henderson,M,False,2.0,,7.0,23.0,30.0,51.0,,,8.0,,1.0,,1.0,,,1.0,4.0,4.0,,,2.0,,,,,,1.0,,90.0,,,,,,,,17.0,,7.1,,,2.0,1.0,,3.0,,10.0,,37.0,31.0,65.0,2,2.0,80.0,1.0,2.0,,
2017-18,7437766,3,14,Liverpool,Home,51501,60914,Joël Matip,joel-matip,D,False,,,1.0,9.0,25.0,34.0,,2.0,5.0,,,,,,,1.0,1.0,5.0,,,,,,,,4.0,,,90.0,,,,,,,,11.0,,7.5,,,,5.0,,,,4.0,,14.0,29.0,43.0,0,2.0,61.0,1.0,1.0,,
2017-18,7437766,3,14,Liverpool,Home,138156,112338,Emre Can,emre-can,D,False,1.0,,3.0,26.0,19.0,44.0,,3.0,8.0,1.0,,1.0,1.0,,,1.0,3.0,10.0,,,1.0,,,,,2.0,2.0,,84.0,,,,,,,,10.0,,7.9,,,1.0,2.0,3.0,2.0,,5.0,,32.0,19.0,49.0,2,2.0,69.0,1.0,2.0,3.0,
2017-18,7437766,3,14,Liverpool,Home,143697,92217,Roberto Firmino,roberto-firmino,M,False,,,,13.0,7.0,20.0,4.0,2.0,3.0,1.0,,1.0,1.0,,,3.0,8.0,5.0,,,,1.0,1.0,,,,2.0,,80.0,1.0,,,,,,,16.0,,8.6,,,,,3.0,1.0,,1.0,,21.0,10.0,30.0,2,,46.0,1.0,,3.0,
2017-18,7437766,3,14,Liverpool,Home,159665,118748,Mohamed Salah,mohamed-salah,M,False,2.0,,1.0,12.0,7.0,17.0,3.0,,5.0,1.0,2.0,,1.0,,,1.0,6.0,2.0,,,1.0,1.0,1.0,,,,1.0,,90.0,5.0,,,,,,,9.0,,8.2,,,,1.0,1.0,2.0,,1.0,2.0,16.0,7.0,21.0,5,1.0,36.0,2.0,,1.0,
2017-18,7437766,3,14,Liverpool,Home,174135,104542,Loris Karius,loris-karius,G,False,,,1.0,1.0,13.0,14.0,,1.0,3.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,,90.0,,,,,,,,22.0,2.0,6.9,,,,2.0,,,,21.0,,20.0,15.0,35.0,0,,39.0,,,,
2017-18,7437766,3,14,Liverpool,Home,197428,95463,Danny Ward,danny-ward,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2017-18,7437766,3,14,Liverpool,Home,217704,110979,Sadio Mané,sadio-mane,M,False,,,,20.0,9.0,29.0,2.0,,5.0,,,,,,,1.0,4.0,3.0,,,,,1.0,,,,,,74.0,2.0,,,,,,,8.0,,7.6,,,1.0,,2.0,2.0,,,,25.0,9.0,32.0,3,1.0,45.0,1.0,1.0,1.0,
2017-18,7437766,3,14,Liverpool,Home,229740,100059,Alberto Moreno,alberto-moreno,D,False,1.0,,2.0,33.0,31.0,63.0,,1.0,5.0,,,1.0,2.0,,,,2.0,9.0,,,,,,,,,1.0,,90.0,,,,,,,,8.0,,7.6,,,,3.0,,2.0,,4.0,,38.0,33.0,69.0,1,6.0,92.0,1.0,2.0,,
2017-18,7437766,3,14,Liverpool,Home,280835,210237,Marko Grujić,marko-grujic,M,True,,,,6.0,2.0,8.0,2.0,,1.0,,,,,,,,2.0,,,,,,,,,,1.0,,6.0,,,,,,,,1.0,,6.5,,,,,,,,1.0,,7.0,2.0,9.0,0,,9.0,,,,
2017-18,7437766,3,14,Liverpool,Home,318927,171287,Joe Gomez,joe-gomez,D,False,1.0,,2.0,14.0,13.0,26.0,,1.0,6.0,1.0,,,3.0,,,,4.0,4.0,,,1.0,1.0,,,,3.0,2.0,,90.0,,2.0,,,,,,15.0,,7.9,,,,2.0,,4.0,,5.0,,24.0,15.0,35.0,0,3.0,62.0,,,,
2017-18,7437766,3,14,Liverpool,Home,361420,154566,Dominic Solanke,dominic-solanke,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2017-18,7437766,3,14,Liverpool,Home,795064,169187,Trent Alexander-Arnold,trent-alexander-arnold,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2017-18,7437749,4,14,Liverpool,Away,791,15157,James Milner,james-milner,M,True,,,,3.0,6.0,9.0,,1.0,2.0,,,,,,,,,3.0,,,,,,,,1.0,,,32.0,,,,,,,,2.0,,6.3,,,,1.0,,,,1.0,,4.0,7.0,11.0,0,,15.0,,2.0,,
2017-18,7437749,4,14,Liverpool,Away,10122,33871,Ragnar Klavan,ragnar-klavan,D,False,,,1.0,2.0,31.0,33.0,,,4.0,,,,1.0,,,1.0,2.0,3.0,,1.0,,,,,,1.0,,,90.0,,,,,,,,9.0,,5.7,,,,6.0,,,,5.0,,8.0,32.0,40.0,0,3.0,53.0,1.0,,,
