season,matchId,gameweek,team_id,team,venue,playerId,pl_id,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballCarriesCount,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,metersCoveredHighSpeedRunningKm,metersCoveredJoggingKm,metersCoveredRunningKm,metersCoveredSprintingKm,metersCoveredWalkingKm,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possessionLostCtrl,progressiveBallCarriesCount,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalBallCarriesDistance,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalProgression,totalProgressiveBallCarriesDistance,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2025-26,14025077,2,11,Everton,Home,1017392,502697,Carlos Alcaraz,carlos-alcaraz,M,True,,,,4.0,3.0,7.0,,,,2.0,,,,,,,,4.0,,,0.00250952,,,,0.0,,,,,,,,,,,,,26.0,,,,,,,,2.0,,,6.8,,,,,,1.0,1.0,,,,4.0,4.0,8.0,,,0,2.0,13.0,,1.0,1.0,
2025-26,14025077,2,11,Everton,Home,1085950,490094,Tim Iroegbunam,tim-iroegbunam,M,False,,,1.0,4.0,8.0,12.0,,3.0,,6.0,,,,,,1.0,3.0,7.0,,,0.00176933,0.0799,,2.0,0.0,,,,,3.0,,,,,,,,71.0,,2.0,,,,,,11.0,,,6.9,,,1.0,,,1.0,,,1.0,,11.0,11.0,22.0,,,1,,36.0,,3.0,1.0,
2025-26,14025077,2,11,Everton,Home,1144949,491745,Elijah Campbell,elijah-campbell,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025077,2,11,Everton,Home,1145627,491012,Youssef Chermiti,youssef-chermiti,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025077,2,11,Everton,Home,1395746,586309,Thierno Barry,thierno-barry,F,False,,,,6.0,1.0,7.0,5.0,6.0,,,,1.0,,,,,5.0,6.0,,,0.0074133,0.3522,,,0.0,,,,,,,,,,,,,64.0,,,,,,,,7.0,,,6.5,,,2.0,,,,,,,,12.0,2.0,14.0,,,2,,17.0,,,,
2025-26,14025077,2,11,Everton,Home,1627560,609873,Harrison Armstrong,harrison-armstrong,M,True,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025118,3,11,Everton,Away,76632,59949,Séamus Coleman,seamus-coleman,D,True,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025118,3,11,Everton,Away,106337,80801,Idrissa Gana Gueye,idrissa-gana-gueye,M,False,,,,17.0,9.0,26.0,1.0,,8.0,6.0,,,2.0,1.0,,,2.0,3.0,,,0.0283499,0.3017,,,0.0,,,,,,1.0,,,,,,,76.0,,,,,,,,6.0,,,6.5,,,1.0,56.769830810102,,,1.0,,,,18.0,12.0,30.0,-27.405,,3,3.0,39.0,,,,2.0
2025-26,14025118,3,11,Everton,Away,110846,106611,Michael Keane,michael-keane,D,False,,,2.0,5.0,19.0,24.0,2.0,3.0,11.0,1.0,,,,,,,2.0,4.0,,,0.00098458,,,,0.0,,,,,4.0,,,,,,,,90.0,,1.0,,,,,,12.0,,,6.2,,,,73.525069008264,8.0,,,,10.0,,14.0,22.0,36.0,-32.865,,0,1.0,50.0,,,,1.0
2025-26,14025118,3,11,Everton,Away,138530,111234,Jordan Pickford,jordan-pickford,G,False,,4.0,12.0,10.0,10.0,20.0,,,7.0,8.0,,,,,,,,,,,0.00700401,,,,0.0,,-0.8445,1.0,,,,,,,,,,90.0,,,,,,,,19.0,,,6.7,,2.0,,26.682138612082,3.0,,,4.0,31.0,,28.0,11.0,39.0,-20.265,,0,,47.0,,,,
2025-26,14025118,3,11,Everton,Away,145188,17761,James Tarkowski,james-tarkovsky,D,False,,,1.0,5.0,15.0,20.0,1.0,3.0,6.0,4.0,,,,,,,2.0,4.0,,,0.00141543,,,1.0,0.0,,,,,2.0,,,,,,,,90.0,,1.0,,,,,,10.0,,,6.4,,,,31.403418588113,7.0,,,,3.0,,9.0,20.0,29.0,-6.405,,0,1.0,43.0,1.0,,,1.0
2025-26,14025118,3,11,Everton,Away,189061,114283,Jack Grealish,jack-grealish,M,False,,,2.0,20.0,13.0,33.0,,,24.0,8.0,1.0,1.0,1.0,,,1.0,4.0,13.0,,,0.58569,0.284,0.1966,,2.0,,,,,2.0,3.0,,,,,,,88.0,1.0,,,,,,,8.0,,,8.4,,,,191.00199496122,,8.0,,,3.0,,23.0,13.0,36.0,-27.72,,2,1.0,61.0,,7.0,5.0,
2025-26,14025118,3,11,Everton,Away,856720,229600,Mark Travers,mark-travers,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025118,3,11,Everton,Away,861970,215413,Kiernan Dewsbury-Hall,kiernan-dewsbury-hall,M,False,1.0,,2.0,22.0,7.0,29.0,,1.0,15.0,5.0,2.0,,,,,1.0,3.0,5.0,,,0.594378,0.0552,0.492,3.0,1.0,1.0,,,,,3.0,,,,,,,90.0,1.0,,,,,,,10.0,,,8.5,,,,115.00979636412,,1.0,2.0,,4.0,,26.0,7.0,33.0,-43.68,,1,1.0,48.0,4.0,2.0,1.0,
2025-26,14025118,3,11,Everton,Away,876643,224967,Vitaliy Mykolenko,vitaliy-mykolenko,D,False,,,,15.0,12.0,27.0,1.0,2.0,10.0,4.0,,,,,,,3.0,5.0,1.0,,0.0732406,,,1.0,0.0,,,,,1.0,1.0,,,,,,,90.0,,,,,,,,13.0,,,6.0,,,,62.554135965986,5.0,1.0,3.0,,3.0,,21.0,13.0,34.0,-35.28,,0,1.0,61.0,1.0,2.0,,1.0
2025-26,14025118,3,11,Everton,Away,914309,440993,Iliman Ndiaye,iliman-ndiaye,M,False,,,,18.0,5.0,23.0,1.0,,15.0,5.0,,,,1.0,,6.0,12.0,5.0,,1.0,0.0460516,0.5612,0.9028,1.0,0.0,1.0,,,,,2.0,,,,,,,89.0,1.0,,,,,,,21.0,,,6.2,,,,146.87119218302,,4.0,1.0,,2.0,1.0,25.0,8.0,33.0,-53.34,,1,3.0,51.0,1.0,1.0,1.0,1.0
2025-26,14025118,3,11,Everton,Away,927361,232928,James Garner,james-garner,M,False,,,2.0,23.0,15.0,38.0,,1.0,10.0,5.0,,,,1.0,,,3.0,5.0,,,0.0215885,,,2.0,0.0,,,,,3.0,,,,,,,,90.0,,,,,,,,11.0,,,6.8,,,,76.305533328802,1.0,1.0,4.0,,3.0,,26.0,17.0,43.0,-5.565,,0,3.0,61.0,1.0,,1.0,3.0
2025-26,14025118,3,11,Everton,Away,935543,433154,Dwight McNeil,dwight-mcneil,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025118,3,11,Everton,Away,987489,486385,Beto,beto,F,False,,,,6.0,3.0,9.0,3.0,6.0,4.0,1.0,,,,,,,5.0,8.0,,,0.075067,0.633,0.9867,2.0,0.0,1.0,,,,,1.0,,,,,,,76.0,1.0,,,,,,,9.0,,,7.4,,,,36.019594121408,,,,,,,10.0,5.0,15.0,10.29,,1,,23.0,3.0,2.0,,
2025-26,14025118,3,11,Everton,Away,998253,512462,Jake O'Brien,jake-obrien,D,False,1.0,,2.0,11.0,8.0,19.0,2.0,4.0,12.0,2.0,,,,,,3.0,9.0,6.0,,,0.00672792,0.0654,,,0.0,,,,,2.0,,,,,,,,90.0,,1.0,,,,,,26.0,,,5.9,,,1.0,126.69150819558,4.0,4.0,2.0,,5.0,,23.0,10.0,33.0,-57.12,,1,1.0,69.0,2.0,1.0,,1.0
2025-26,14025118,3,11,Everton,Away,1004342,461446,Tyler Onyango,tyler-onyango,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025118,3,11,Everton,Away,1017392,502697,Carlos Alcaraz,carlos-alcaraz,M,True,,,,,,,,,1.0,1.0,,,,,,,,1.0,,,,,,,0.0,,,,,,,,,,,,,9.0,,,,,,,,1.0,,,6.7,,,,9.4485429564563,,,,,,,,,,-3.15,,0,1.0,2.0,1.0,,,1.0
2025-26,14025118,3,11,Everton,Away,1085950,490094,Tim Iroegbunam,tim-iroegbunam,M,True,,,,1.0,1.0,2.0,,2.0,,,,,1.0,,,,,2.0,,,0.00011127,0.0315,,,0.0,,,,,1.0,,,,,,,,14.0,,1.0,,,,,,2.0,,,6.6,,,,,,,,,,,3.0,1.0,4.0,,,1,,7.0,,,,
2025-26,14025118,3,11,Everton,Away,1174472,496661,Tyler Dibling,tyler-dibling,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025118,3,11,Everton,Away,1395746,586309,Thierno Barry,thierno-barry,F,True,,,,4.0,1.0,5.0,1.0,2.0,4.0,,,,,,,,2.0,2.0,,,0.00191308,,,,0.0,,,,,1.0,,,,,,,,14.0,,1.0,,,,,,5.0,,,6.6,,,,22.064686056686,,1.0,,,,,4.0,2.0,6.0,-7.77,,0,,14.0,3.0,,,
2025-26,14025118,3,11,Everton,Away,1627560,609873,Harrison Armstrong,harrison-armstrong,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025136,4,11,Everton,Home,76632,59949,Séamus Coleman,seamus-coleman,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025136,4,11,Everton,Home,106337,80801,Idrissa Gana Gueye,idrissa-gana-gueye,M,False,,,1.0,20.0,17.0,37.0,,1.0,,6.0,,,,1.0,,,2.0,4.0,,,0.0252675,0.0964,,1.0,0.0,,,,,2.0,,,,,,,,90.0,,,,,,,,5.0,,,7.0,,,2.0,,,,,,1.0,,24.0,17.0,41.0,,,2,2.0,52.0,1.0,1.0,,2.0
