season,matchId,gameweek,team_id,team,venue,playerId,pl_id,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,minutesPlayed,onTargetScoringAttempt,outfielderBlock,penaltyConceded,penaltyFaced,penaltyMiss,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2017-18,7437762,3,11,Everton,Away,9692,17349,Aaron Lennon,aaron-lennon,M,True,,,,2.0,,2.0,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,1.0,7.0,,,,,,,,,,6.5,,,,,,,,,,2.0,,2.0,1,,5.0,,1.0,,
2017-18,7437762,3,11,Everton,Away,9766,12745,Leighton Baines,leighton-baines,D,False,,,1.0,8.0,14.0,22.0,1.0,,2.0,,,,,,,1.0,8.0,,,,,,,,2.0,,90.0,,,,,,,,6.0,,7.2,,,,2.0,,1.0,,3.0,,13.0,15.0,27.0,0,4.0,43.0,,4.0,,
2017-18,7437762,3,11,Everton,Away,10507,7645,Phil Jagielka,phil-jagielka,D,False,,,4.0,11.0,32.0,43.0,,,5.0,,,,1.0,,,1.0,2.0,,,,,,,,,,83.0,,1.0,,,,,,8.0,,6.7,,,,5.0,,,,7.0,,14.0,36.0,50.0,0,2.0,60.0,,,,
2017-18,7437762,3,11,Everton,Away,20204,19159,Ashley Williams,ashley-williams,D,False,,,,7.0,31.0,38.0,1.0,2.0,8.0,,,,1.0,,,3.0,3.0,,1.0,1.0,,,,,5.0,,90.0,,2.0,,,,,,9.0,,6.8,,,2.0,10.0,,,,7.0,,13.0,34.0,47.0,2,1.0,68.0,,,,
2017-18,7437762,3,11,Everton,Away,43192,55422,Gylfi Sigurðsson,gylfi-sigursson,M,False,1.0,,,15.0,8.0,22.0,1.0,,5.0,,,,2.0,,1.0,4.0,3.0,,,,,,,,2.0,1.0,90.0,,,,,,,,14.0,,6.9,,,1.0,,2.0,9.0,,1.0,,26.0,9.0,26.0,1,1.0,47.0,1.0,,2.0,
2017-18,7437762,3,11,Everton,Away,73763,56192,Cuco Martina,cuco-martina,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2017-18,7437762,3,11,Everton,Away,106337,80801,Idrissa Gana Gueye,idrissa-gana-gueye,M,False,,,2.0,21.0,18.0,39.0,,,6.0,,,1.0,,,1.0,2.0,4.0,,,1.0,,,,,2.0,,90.0,,,,,,,,7.0,,6.8,,,,1.0,1.0,1.0,,3.0,,25.0,20.0,44.0,1,2.0,56.0,,1.0,1.0,
2017-18,7437762,3,11,Everton,Away,110846,106611,Michael Keane,michael-keane,D,False,,,3.0,11.0,30.0,41.0,1.0,1.0,8.0,,,,1.0,,,2.0,3.0,,,,,,,,3.0,,90.0,,2.0,,,,,,8.0,,6.9,,,,4.0,,,,7.0,,15.0,33.0,48.0,0,2.0,61.0,1.0,,,
2017-18,7437762,3,11,Everton,Away,124960,87447,Muhamed Bešić,muhamed-besic,M,True,,,3.0,10.0,17.0,27.0,,2.0,3.0,,,,2.0,,2.0,5.0,4.0,,,1.0,,,,,,1.0,45.0,,2.0,,,,,,3.0,,6.8,,,,1.0,,,,4.0,,11.0,17.0,28.0,0,,35.0,,2.0,,
2017-18,7437762,3,11,Everton,Away,138530,111234,Jordan Pickford,jordan-pickford,G,False,,,9.0,7.0,13.0,20.0,,,16.0,,,,,,,,,,,,,,,,,,90.0,,,,,,,,18.0,1.0,6.8,2.0,5.0,,1.0,,,,26.0,,21.0,16.0,37.0,0,,54.0,,,,
