season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballCarriesCount,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,metersCoveredHighSpeedRunningKm,metersCoveredJoggingKm,metersCoveredRunningKm,metersCoveredSprintingKm,metersCoveredWalkingKm,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltyWon,possessionLostCtrl,progressiveBallCarriesCount,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalBallCarriesDistance,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalProgression,totalProgressiveBallCarriesDistance,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2025-26,14025023,11,8,Chelsea,Home,975079,475168,João Pedro,joao-pedro,F,False,,,,22.0,4.0,26.0,1.0,,,4.0,,,,,,,4.0,3.0,,,0.102667,0.4075,0.6319,2.0,0.0,1.0,,,,,2.0,,,,,,,83.0,2.0,,,,,,,11.0,,,7.1,,,1.0,,,1.0,1.0,,,1.0,,29.0,5.0,34.0,,,3,1.0,46.0,2.0,2.0,,1.0
2025-26,14025023,11,8,Chelsea,Home,997087,463034,Liam Delap,liam-delap,F,False,,,,6.0,,6.0,,,,,,,1.0,,,1.0,1.0,2.0,,,0.00645411,0.1057,0.063,,0.0,,,,,,,,,,,,,64.0,1.0,,,,,,,3.0,,,6.5,,,,,,1.0,,,,,,7.0,,7.0,,,2,,15.0,1.0,2.0,,
2025-26,14025023,11,8,Chelsea,Home,1135873,493105,Alejandro Garnacho,alejandro-garnacho,F,False,2.0,,1.0,29.0,6.0,35.0,2.0,,,1.0,2.0,1.0,2.0,,,,3.0,3.0,,,0.998744,0.5386,0.7181,,2.0,,,,,,3.0,,,,,,,90.0,1.0,,,,,,,14.0,,,9.2,,,,,,,2.0,9.0,,1.0,,32.0,6.0,38.0,,,3,1.0,57.0,3.0,1.0,1.0,
2025-26,14025023,11,8,Chelsea,Home,1414933,499309,Marc Guiu,guiu-marc,F,True,,,,1.0,,1.0,,,,,,2.0,,,,,,,,,0.00168972,0.5777,,,0.0,,,,1.0,,,,,,,,,13.0,,,,,,,,,,,6.2,,,2.0,,,,,,,,,1.0,,1.0,,,2,,3.0,,,,
2025-26,14025072,12,8,Chelsea,Away,975079,475168,João Pedro,joao-pedro,F,False,,,1.0,15.0,12.0,27.0,,2.0,,7.0,,,,,,5.0,7.0,6.0,,,0.12475,0.1999,,2.0,0.0,,,,,1.0,1.0,,,,,,,76.0,,,,,,,,17.0,,,6.6,,,2.0,,,1.0,2.0,,,1.0,2.0,21.0,15.0,36.0,,,2,,54.0,2.0,2.0,2.0,
2025-26,14025072,12,8,Chelsea,Away,997087,463034,Liam Delap,liam-delap,F,False,,,,6.0,2.0,8.0,5.0,,,2.0,,,1.0,1.0,,,6.0,2.0,,,0.0397813,0.0512,,,0.0,,,,,,,,,,,,,67.0,,,,,,,,6.0,,,6.2,,,1.0,,,1.0,,,,,1.0,8.0,3.0,11.0,,,2,,20.0,3.0,2.0,,
2025-26,14025072,12,8,Chelsea,Away,1135873,493105,Alejandro Garnacho,alejandro-garnacho,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025072,12,8,Chelsea,Away,1414933,499309,Marc Guiu,guiu-marc,F,True,,,,2.0,,2.0,,,,,1.0,,,,,,1.0,1.0,,,0.25262,,,1.0,1.0,,,,,,1.0,,,,,,,14.0,,,,,,,,,,,6.9,,,,,,,1.0,,,,,2.0,,2.0,,,0,,4.0,,,1.0,
2025-26,14025099,13,8,Chelsea,Home,975079,475168,João Pedro,joao-pedro,F,False,,,,6.0,,6.0,1.0,2.0,6.0,1.0,,1.0,,,,,4.0,4.0,,,0.0321446,0.2434,0.3506,1.0,0.0,,,,,,,,,,,,,55.0,1.0,,,,,,,8.0,,,7.0,,,,,58.870416351867,,3.0,1.0,,,,8.0,,8.0,24.045,,1,,21.0,3.0,2.0,1.0,
2025-26,14025099,13,8,Chelsea,Home,997087,463034,Liam Delap,liam-delap,F,True,,,,4.0,,4.0,,4.0,1.0,1.0,,,,,,1.0,3.0,5.0,,,0.00151573,0.0288,0.052,2.0,0.0,,,,,,,,,,,,,35.0,1.0,,,,,,,7.0,,,6.7,,,,,8.5857325837694,,,,,1.0,,7.0,,7.0,6.09,,1,,15.0,3.0,1.0,,
2025-26,14025099,13,8,Chelsea,Home,1135873,493105,Alejandro Garnacho,alejandro-garnacho,F,True,,,1.0,8.0,2.0,10.0,1.0,,7.0,1.0,,,,,,,1.0,1.0,,,0.0255169,,,,0.0,,,,,,,,,,,,,45.0,,,,,,,,2.0,,,6.7,,,,,72.425153714007,,,2.0,,1.0,,8.0,2.0,10.0,13.02,,0,,13.0,,1.0,,
2025-26,14025138,14,8,Chelsea,Away,975079,475168,João Pedro,joao-pedro,F,False,,,,18.0,7.0,25.0,,3.0,19.0,2.0,,,,,,2.0,5.0,6.0,,,0.345831,0.0737,,2.0,0.0,,,,,,3.0,,,,,,,90.0,,,,,,,,18.0,,,6.2,,,1.0,,125.73078827993,2.0,2.0,1.0,,1.0,1.0,24.0,8.0,32.0,-4.515,,1,1.0,53.0,7.0,1.0,1.0,
2025-26,14025138,14,8,Chelsea,Away,997087,463034,Liam Delap,liam-delap,F,False,,,,3.0,,3.0,2.0,1.0,5.0,,,,,,,3.0,6.0,4.0,,,0.00380088,0.2636,0.0983,1.0,0.0,,,,,,,,,,,,,61.0,1.0,,,,,,,8.0,,,6.6,,,2.0,,56.131853255874,1.0,1.0,,,,,6.0,,6.0,-32.655,,3,,18.0,2.0,2.0,1.0,
2025-26,14025138,14,8,Chelsea,Away,1135873,493105,Alejandro Garnacho,alejandro-garnacho,F,True,1.0,,,9.0,,9.0,,,11.0,1.0,,,,1.0,,,1.0,2.0,,,0.161048,,,,0.0,,,,,,2.0,,,,,,,29.0,,,,,,,,6.0,,,6.9,,,,,121.93660861953,,1.0,4.0,,,,10.0,,10.0,-98.28,,0,,18.0,,1.0,1.0,
2025-26,14025138,14,8,Chelsea,Away,1414933,499309,Marc Guiu,guiu-marc,F,True,,,,1.0,,1.0,,,,,,,,,,,,,,,0.00090269,0.0604,,,0.0,,,,,,,,,,,,,13.0,,,,,,,,,,,6.4,,,1.0,,,,,,,,,1.0,,1.0,,,1,,2.0,,,,
2025-26,14025153,15,8,Chelsea,Away,975079,475168,João Pedro,joao-pedro,F,True,,,,3.0,6.0,9.0,2.0,2.0,9.0,4.0,,,,1.0,,,3.0,5.0,,,0.00229648,,,,0.0,,,,,,,,,,,,,32.0,,,,,,,,5.0,,,6.8,,,,,99.878791609251,,,1.0,,,,5.0,6.0,11.0,-70.35,,0,2.0,20.0,1.0,1.0,,1.0
2025-26,14025153,15,8,Chelsea,Away,997087,463034,Liam Delap,liam-delap,F,False,,,1.0,3.0,1.0,4.0,1.0,1.0,3.0,,,,1.0,1.0,,1.0,6.0,5.0,,,0.00525487,0.1443,,2.0,0.0,,,,,,,,,,,,,32.0,,,,,,,,7.0,,,6.5,,,,,22.011860942849,,3.0,1.0,,1.0,,5.0,1.0,6.0,-15.54,,1,,17.0,2.0,2.0,2.0,
2025-26,14025153,15,8,Chelsea,Away,1135873,493105,Alejandro Garnacho,alejandro-garnacho,F,False,2.0,,,11.0,6.0,17.0,,1.0,21.0,3.0,,,,,,,3.0,4.0,,,0.186813,0.1282,,,0.0,,,,1.0,,1.0,,,,,,,77.0,,,,,,,,10.0,,,7.0,,,2.0,,228.06686253193,,4.0,3.0,,,,13.0,7.0,20.0,-127.785,,2,,35.0,3.0,2.0,1.0,
2025-26,14025153,15,8,Chelsea,Away,1414933,499309,Marc Guiu,guiu-marc,F,True,,,,7.0,1.0,8.0,2.0,3.0,5.0,2.0,,,,,,,5.0,4.0,,,0.0296547,0.2092,0.0297,2.0,0.0,,,,,,2.0,,,,,,,58.0,1.0,,,,,,,10.0,,,6.4,,,1.0,,34.86291556678,2.0,1.0,,,,,12.0,1.0,13.0,-14.07,,2,,25.0,4.0,1.0,,
2025-26,14025192,16,8,Chelsea,Home,975079,475168,João Pedro,joao-pedro,F,False,,,,12.0,5.0,17.0,3.0,4.0,5.0,1.0,,,,1.0,,3.0,10.0,7.0,,,0.0246237,0.0634,,2.0,0.0,,,,,,1.0,,,,,,,81.0,,,,,,,,10.0,1.0,,6.5,,,1.0,,39.540474990466,1.0,3.0,,,,,14.0,7.0,21.0,5.67,8.6741224339987,1,,37.0,2.0,1.0,2.0,
2025-26,14025192,16,8,Chelsea,Home,1135873,493105,Alejandro Garnacho,alejandro-garnacho,F,False,,,,10.0,6.0,16.0,,,14.0,4.0,,3.0,,,,,2.0,,,,0.00569403,0.6114,,1.0,0.0,,,,,1.0,,,,,,,,65.0,,,,,,,,7.0,5.0,,6.1,,,4.0,,119.27281852148,1.0,1.0,,,,,13.0,7.0,20.0,74.97,64.419808815989,4,,33.0,2.0,,,
2025-26,14025192,16,8,Chelsea,Home,1414933,499309,Marc Guiu,guiu-marc,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025228,17,8,Chelsea,Away,975079,475168,João Pedro,joao-pedro,F,False,,,,10.0,4.0,14.0,3.0,5.0,14.0,,,,1.0,,,,4.0,7.0,,,0.0354552,0.5371,0.5011,1.0,0.0,1.0,,,,,2.0,,,,,,,90.0,1.0,,,,,,,9.0,2.0,,8.1,,,,,130.21783555558,3.0,1.0,,,,,16.0,5.0,21.0,-49.665,36.747606298441,2,,30.0,2.0,1.0,1.0,
2025-26,14025228,17,8,Chelsea,Away,1135873,493105,Alejandro Garnacho,alejandro-garnacho,F,False,,,1.0,15.0,10.0,25.0,2.0,1.0,26.0,6.0,,,1.0,1.0,,1.0,6.0,6.0,,,0.0725079,0.2841,0.1398,1.0,0.0,,,,,1.0,2.0,,,,,,,90.0,1.0,,,,,,,16.0,8.0,,6.2,,,3.0,,244.75364002945,,4.0,4.0,,1.0,,17.0,11.0,28.0,-138.39,152.79371163713,5,,52.0,6.0,2.0,3.0,
