season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2020-21,8896897,4,90,Burnley,Away,58488,81183,Matěj Vydra,matej-vydra,F,True,,,,1.0,,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,12.0,,,,,,,2.0,,6.5,,,,,,,,,1.0,2.0,,2.0,0,,4.0,1.0,1.0,,
2020-21,8896897,4,90,Burnley,Away,96116,41674,Kevin Long,kevin-long,D,False,,,2.0,5.0,24.0,29.0,6.0,1.0,8.0,,,,,,,,8.0,3.0,,,2.0,,,,,,,,90.0,,,,,,,8.0,,6.1,,,1.0,2.0,,,,6.0,,8.0,28.0,36.0,1,2.0,42.0,1.0,,,1.0
2020-21,8896897,4,90,Burnley,Away,145188,17761,James Tarkowski,james-tarkovsky,D,False,,,4.0,6.0,25.0,31.0,1.0,9.0,4.0,,,,,,,,1.0,13.0,,,1.0,,,,,1.0,1.0,,90.0,1.0,1.0,,,,,16.0,,7.1,,,,3.0,,,,8.0,1.0,18.0,28.0,46.0,1,3.0,57.0,1.0,1.0,,1.0
2020-21,8896897,4,90,Burnley,Away,162653,98747,Nick Pope,nick-pope,G,False,,,7.0,5.0,6.0,11.0,,,9.0,,,,1.0,,,,2.0,,,,1.0,,,,,,,,90.0,,,,1.0,1.0,,14.0,,5.5,1.0,2.0,,,,,1.0,20.0,,16.0,8.0,24.0,0,,34.0,1.0,,,
2020-21,8896897,4,90,Burnley,Away,166381,103914,Charlie Taylor,charlie-taylor,D,False,,,1.0,17.0,22.0,39.0,2.0,4.0,5.0,,,,,,,,2.0,5.0,,,,,,,,,,,90.0,,,,,,,21.0,,6.2,,,,2.0,1.0,4.0,,9.0,,31.0,28.0,55.0,0,,75.0,,,1.0,
2020-21,8896897,4,90,Burnley,Away,267621,90517,Robbie Brady,robbie-brady,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2020-21,8896897,4,90,Burnley,Away,358394,172782,Josh Brownhill,josh-brownhill,M,False,,,2.0,24.0,15.0,39.0,1.0,6.0,5.0,,,,2.0,,,,4.0,8.0,,,1.0,,,,,1.0,1.0,,90.0,,,,,,,9.0,,6.7,,,,1.0,,,,4.0,,30.0,17.0,47.0,0,2.0,54.0,1.0,1.0,,
2020-21,8896897,4,90,Burnley,Away,826259,220037,Bailey Peacock-Farrell,bailey-peacock-farrell,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2020-21,8896897,4,90,Burnley,Away,914891,218023,Jimmy Dunne,jimmy-dunne,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2020-21,8896897,4,90,Burnley,Away,935543,433154,Dwight McNeil,dwight-mcneil,M,False,3.0,,5.0,28.0,15.0,40.0,1.0,1.0,6.0,,,,1.0,,,1.0,5.0,3.0,,,1.0,,,,,3.0,2.0,,90.0,,,,,,,19.0,,6.8,,,,,1.0,5.0,,7.0,,36.0,18.0,49.0,0,,71.0,2.0,2.0,,
2020-21,8896897,4,90,Burnley,Away,974553,217401,Josh Benson,josh-benson,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2020-21,8896881,5,90,Burnley,Away,17063,39487,Erik Pieters,erik-pieters,D,False,,,1.0,6.0,17.0,23.0,1.0,1.0,5.0,,,,,,,,6.0,7.0,,,4.0,,,,,3.0,,,90.0,,,,,,,13.0,,7.1,,,,1.0,3.0,1.0,,5.0,,14.0,20.0,33.0,0,2.0,58.0,,2.0,2.0,2.0
2020-21,8896881,5,90,Burnley,Away,21299,40845,Dale Stephens,dale-stephens,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2020-21,8896881,5,90,Burnley,Away,26989,44683,Jay Rodriguez,jay-rodriguez,F,True,,,,1.0,1.0,2.0,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,13.0,,,,,,,1.0,,6.5,,,,,,,,,,1.0,1.0,2.0,0,,4.0,1.0,1.0,,
2020-21,8896881,5,90,Burnley,Away,27028,44699,Ashley Barnes,ashley-barnes,M,False,,,,8.0,1.0,9.0,7.0,,1.0,,,,,,,2.0,12.0,2.0,,,3.0,,,,,,1.0,,77.0,3.0,,,,,,8.0,,6.9,,,,2.0,,,,1.0,,12.0,2.0,14.0,3,,24.0,1.0,2.0,,
